npg_run_id	serotype	status
36773_2#128	type_b	full_gene_complement,fragmented_locus
36773_2#132	type_f	full_gene_complement
36773_2#178	type_b	full_gene_complement,fragmented_locus
36773_2#2	type_b	full_gene_complement,fragmented_locus
36773_2#200	type_b	full_gene_complement,fragmented_locus
36773_2#225	type_e	full_gene_complement
36773_2#227	type_b	full_gene_complement,fragmented_locus
36773_2#230	type_e	full_gene_complement
36773_2#244	type_f	full_gene_complement
36773_2#257	type_b	full_gene_complement,fragmented_locus
36773_2#259	type_e	full_gene_complement
36773_2#26	type_b	full_gene_complement,fragmented_locus
36773_2#263	type_f	full_gene_complement
36773_2#282	type_f	full_gene_complement
36773_2#288	type_e	full_gene_complement
36773_2#3	type_b	full_gene_complement,fragmented_locus
36773_2#347	type_b	full_gene_complement,fragmented_locus
36773_2#356	type_b	full_gene_complement,fragmented_locus
36773_2#365	type_a	full_gene_complement
36773_2#383	type_f	full_gene_complement
36773_2#49	type_b	full_gene_complement,fragmented_locus
36773_2#53	type_f	full_gene_complement
36774_1#114	type_b	full_gene_complement,fragmented_locus
36774_1#116	type_b	full_gene_complement,fragmented_locus
36774_1#128	type_b	full_gene_complement,fragmented_locus
36774_1#13	type_a	full_gene_complement,truncated_genes
36774_1#132	type_b	full_gene_complement,fragmented_locus
36774_1#134	type_b	full_gene_complement,fragmented_locus
36774_1#141	type_b	full_gene_complement,truncated_genes,fragmented_locus
36774_1#155	type_b	full_gene_complement,truncated_genes,fragmented_locus
36774_1#179	type_b	full_gene_complement,fragmented_locus
36774_1#196	type_b	full_gene_complement,fragmented_locus
36774_1#207	type_b	full_gene_complement,fragmented_locus
36774_1#221	type_e	full_gene_complement
36774_1#236	type_e	full_gene_complement
36774_1#237	type_b	full_gene_complement,fragmented_locus
36774_1#242	type_f	full_gene_complement
36774_1#264	type_b	full_gene_complement,fragmented_locus
36774_1#266	type_b	full_gene_complement,fragmented_locus
36774_1#305	type_b	full_gene_complement,fragmented_locus
36774_1#317	type_b	full_gene_complement,fragmented_locus
36774_1#321	type_b	full_gene_complement,fragmented_locus
36774_1#327	type_f	full_gene_complement
36774_1#355	type_b	full_gene_complement,fragmented_locus
36774_1#368	type_b	full_gene_complement,fragmented_locus
36774_1#37	type_e	full_gene_complement
36774_1#374	type_e	full_gene_complement
36774_1#379	type_b	full_gene_complement,fragmented_locus
36774_1#382	type_f	full_gene_complement
36774_1#42	type_e	full_gene_complement
36774_1#50	type_b	full_gene_complement,fragmented_locus
36774_1#65	type_b	full_gene_complement,fragmented_locus
36774_1#71	type_b	full_gene_complement,fragmented_locus
36774_1#8	type_b	full_gene_complement,fragmented_locus
36774_1#84	type_b	full_gene_complement,fragmented_locus
36774_2#104	type_b	full_gene_complement,fragmented_locus
36774_2#152	type_b	full_gene_complement,fragmented_locus
36774_2#191	type_a	full_gene_complement,fragmented_locus
36774_2#196	type_e	full_gene_complement
36774_2#210	type_b	full_gene_complement,fragmented_locus
36774_2#211	type_f	full_gene_complement
36774_2#217	type_b	full_gene_complement,fragmented_locus
36774_2#230	type_f	full_gene_complement
36774_2#249	type_f	full_gene_complement
36774_2#250	type_a	full_gene_complement,truncated_genes,fragmented_locus
36774_2#275	type_f	full_gene_complement
36774_2#282	type_b	full_gene_complement,truncated_genes,fragmented_locus
36774_2#283	type_b	full_gene_complement,fragmented_locus
36774_2#288	type_b	full_gene_complement,fragmented_locus
36774_2#292	type_f	full_gene_complement
36774_2#303	type_b	full_gene_complement,fragmented_locus
36774_2#308	type_b	full_gene_complement,fragmented_locus
36774_2#320	type_b	full_gene_complement,fragmented_locus
36774_2#352	type_b	full_gene_complement,fragmented_locus
36774_2#378	type_b	full_gene_complement,fragmented_locus
36774_2#379	type_b	full_gene_complement,truncated_genes,fragmented_locus
36774_2#384	type_d	full_gene_complement
36774_2#48	type_f	full_gene_complement
36774_2#60	type_a	full_gene_complement,fragmented_locus
36774_2#65	type_c	full_gene_complement
36774_2#67	type_f	full_gene_complement
36774_2#69	type_f	full_gene_complement
36774_2#91	type_b	full_gene_complement,fragmented_locus
36774_2#98	type_b	full_gene_complement,fragmented_locus
36812_1#107	type_b	full_gene_complement,fragmented_locus
36812_1#109	type_b	full_gene_complement,fragmented_locus
36812_1#117	type_e	full_gene_complement
36812_1#118	type_b	full_gene_complement,fragmented_locus
36812_1#122	type_b	full_gene_complement,fragmented_locus
36812_1#130	type_d	full_gene_complement
36812_1#145	type_b	full_gene_complement,truncated_genes,fragmented_locus
