import_uuid	name	sample_accession_number	sample_common_name	sample_donor_id	sample_id	sample_supplier_name	sample_uuid	sequencescape_sample_id
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417487	ERS5382516	Haemophilus influenzae	HINTVAC9417487	5036815	4_18_B6_08B03238	3584d160-fdd9-58f9-a274-e7f7aa05782e	HINTVAC9417487
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416271	ERS5380789	Haemophilus influenzae	HINTVAC9416271	5035599	17_22_B10_09B00259	23e63abb-b7ce-5c6c-9fb9-6b5f348adc9e	HINTVAC9416271
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416322	ERS5380845	Haemophilus influenzae	HINTVAC9416322	5035650	16_52_E4_08B10775	676f13e8-532e-5468-b5c1-e617efd61cac	HINTVAC9416322
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415448	ERS5379822	Haemophilus influenzae	HINTVAC9415448	5034776	25_27_C3_09B04375	e097c029-01bd-5374-90fa-e0505920a433	HINTVAC9415448
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416680	ERS5381346	Haemophilus influenzae	HINTVAC9416680	5036008	12_25_C1_08B08306	03e3a6e8-06e5-5119-a04b-0337b5497743	HINTVAC9416680
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415475	ERS5379844	Haemophilus influenzae	HINTVAC9415475	5034803	25_66_F6_09B04567	3f50e41f-0a16-5e67-b636-821c03bd0cc5	HINTVAC9415475
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417228	ERS5382125	Haemophilus influenzae	HINTVAC9417228	5036556	7_81_G9_08B05984	6f3a4737-bb5e-54f6-beda-1801efd0d852	HINTVAC9417228
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415211	ERS5379513	Haemophilus influenzae	HINTVAC9415211	5034539	28_69_F9_09B06610	edc6fb12-7e12-548c-b68b-733607eb5b85	HINTVAC9415211
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414729	ERS5378906	Haemophilus influenzae	HINTVAC9414729	5034057	33_45_D9_09B09546	c029ff23-7fe1-570d-b133-018759ba878c	HINTVAC9414729
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414804	ERS5379011	Haemophilus influenzae	HINTVAC9414804	5034132	32_78_G6_09B09229	f238554e-1896-5bf7-a7b3-0dc83df22030	HINTVAC9414804
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415343	ERS5379683	Haemophilus influenzae	HINTVAC9415343	5034671	26_14_B2_09B04861	4261f9d1-1a79-55c4-9276-32c12e1cd1f8	HINTVAC9415343
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414261	ERS5378334	Haemophilus influenzae	HINTVAC9414261	5033589	38_94_H10_09B13215	48aac7a8-557e-5668-a94d-6e22116d0cd7	HINTVAC9414261
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9413787	ERS5377798	Haemophilus influenzae	HINTVAC9413787	5033115	43_71_F11_10B03072	fa180b28-522b-5634-a653-72ed52ad0e4e	HINTVAC9413787
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414164	ERS5378221	Haemophilus influenzae	HINTVAC9414164	5033492	39_82_G10_09B14053	3d8c41cb-1af1-5ecb-b88e-6fda14ba09ce	HINTVAC9414164
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415661	ERS5380082	Haemophilus influenzae	HINTVAC9415661	5034989	23_89_H5_09B03633	ded3c35a-d5e1-56f4-a222-41ce8b34c865	HINTVAC9415661
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9413922	ERS5377993	Haemophilus influenzae	HINTVAC9413922	5033250	41_52_E4_10B01265	f20926bc-fc68-5f80-875f-dbe16ff2840f	HINTVAC9413922
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9414034	ERS5378090	Haemophilus influenzae	HINTVAC9414034	5033362	40_54_E6_10B00508	58294f8d-59ef-5a36-aca3-3ee9bd31ee84	HINTVAC9414034
