alignment	id_run	irods_path	is_paired_read	lane	library_id	library_type	manual_qc	name	npg_run_id	reference	run_uuid	sample_uuid	tag_index	target	total_reads	type
1	36774	/seq/illumina/runs/36/36774/lane2/plex296/36774_2#296.cram	1	2	25851110	pWGS-384	1	36774_2#296	36774_2#296		5936ee15-67c9-5195-87b5-f131e9553347	081d20a3-4f7a-56bc-95a0-b8c2e606cead	296	1	2409020	cram
1	36812	/seq/illumina/runs/36/36812/lane1/plex331/36812_1#331.cram	1	1	25940916	pWGS-384	1	36812_1#331	36812_1#331		307290ee-9852-5607-89e1-8b1f247acfc6	7533d0d9-d1a2-5583-aca8-e030dcd190df	331	1	4560408	cram
1	36983	/seq/illumina/runs/36/36983/lane1/plex100/36983_1#100.cram	1	1	25808676	pWGS-384	1	36983_1#100	36983_1#100		d92160f0-f3a7-54ea-b43e-c07a3fe49885	1b263e6d-baaf-5abf-ac99-34f5a59a2a8d	100	1	1829458	cram
1	36985	/seq/illumina/runs/36/36985/lane1/plex41/36985_1#41.cram	1	1	26753745	pWGS-384	1	36985_1#41	36985_1#41		c7dd92e6-3c99-54ff-87b0-edb3536797ed	143275f2-a40b-5ae8-b1f1-d0b3ed665e93	41	1	2794250	cram
1	36773	/seq/illumina/runs/36/36773/lane2/plex103/36773_2#103.cram	1	2	25858012	pWGS-384	1	36773_2#103	36773_2#103		b451d00b-6ce4-598e-a715-e853c6317379	647ee2da-1819-5c72-8474-a1ef6f621cd5	103	1	2536206	cram
1	36774	/seq/illumina/runs/36/36774/lane1/plex122/36774_1#122.cram	1	1	25730964	pWGS-384	1	36774_1#122	36774_1#122		d4f6da37-5803-5142-b19e-d5af06fbb5d2	0f2eee3e-b077-5613-96de-28916789014e	122	1	2767314	cram
1	36774	/seq/illumina/runs/36/36774/lane2/plex173/36774_2#173.cram	1	2	25851315	pWGS-384	1	36774_2#173	36774_2#173		8ffcb669-3d60-5064-9820-9bf3fbe67cd6	fd01058c-dbee-5681-a616-03df9129820a	173	1	2362794	cram
1	36773	/seq/illumina/runs/36/36773/lane2/plex99/36773_2#99.cram	1	2	25857870	pWGS-384	1	36773_2#99	36773_2#99		ebd5ef5d-e79d-5fb0-8173-7e9b82070260	3a76e03d-119e-5d14-8cbe-48359f274621	99	1	2746964	cram
1	36985	/seq/illumina/runs/36/36985/lane2/plex113/36985_2#113.cram	1	2	25813225	pWGS-384	1	36985_2#113	36985_2#113		27b0933b-9407-5337-a53b-6bc843ee2658	878ea4a2-d483-5c37-82c0-b46a293af8f8	113	1	1607818	cram
1	37017	/seq/illumina/runs/37/37017/lane2/plex142/37017_2#142.cram	1	2	25838953	pWGS-384	1	37017_2#142	37017_2#142		2223b222-55b6-5b71-8007-24ab61912488	9c296ef7-4d9c-5564-b618-310a5fdc50b4	142	1	2054912	cram
1	37017	/seq/illumina/runs/37/37017/lane2/plex88/37017_2#88.cram	1	2	25838806	pWGS-384	1	37017_2#88	37017_2#88		f656b64a-11af-56b4-b179-c035b5980a3a	bc3bbd1c-e345-51b5-81dd-c3a08aedbd3e	88	1	3001016	cram
1	36812	/seq/illumina/runs/36/36812/lane2/plex340/36812_2#340.cram	1	2	25777506	pWGS-384	1	36812_2#340	36812_2#340		c2f72dca-4bb5-5f7d-bda7-02db5cda4405	ff62e2ce-6c88-568a-b389-f06b778a4dc8	340	1	2492320	cram
1	36774	/seq/illumina/runs/36/36774/lane1/plex89/36774_1#89.cram	1	1	25730938	pWGS-384	1	36774_1#89	36774_1#89		bdb3afa5-c9fc-5c15-8779-9a7b14b21f49	8831645d-668f-5a84-a4ea-05704d5a33d8	89	1	2741266	cram
1	36984	/seq/illumina/runs/36/36984/lane2/plex26/36984_2#26.cram	1	2	25701698	pWGS-384	1	36984_2#26	36984_2#26		b1185a59-913c-5737-bda7-2cfce8f0063f	6e75388a-8ac7-5f8c-8012-287b76eb8320	26	1	2603734	cram
