batch_uuid	file_type	file_uuid	method_uuid	path
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	7298e7cc-9ac7-4edc-98ba-68aca1e24901	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10661627/SLX/65992402/46321_2#120/46321_2#120/kraken.report
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	f9b94f5c-9d98-4806-a4df-e8a4a5cb7f93	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170482/SLX/65993343/46736_1#187/46736_1#187/spades_assembly/contigs.fa
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	be2e6a81-e6f0-4b88-a1e7-e147dd45e394	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10662727/SLX/65990138/46358_2#377/46358_2#377/spades_assembly/annotation/46358_2#377.gff
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	e1d073d0-8674-480b-a86c-ea5172007f76	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10661232/SLX/65992058/46321_1#377/46321_1#377/kraken.report
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	9b1aeeef-bae6-4f48-a0a1-3764801145a3	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170411/SLX/65993398/46736_1#297/46736_1#297/spades_assembly/annotation/46736_1#297.gff
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	87afee73-3acf-4c19-94f4-6dc31d46df24	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10661172/SLX/65992150/46321_1#317/46321_1#317/kraken.report
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	bd60c591-245c-4efa-913f-31f644ae8810	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10662759/SLX/65990046/46358_2#54/46358_2#54/spades_assembly/annotation/46358_2#54.gff
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	8af3ca46-4847-4041-a494-ae792db1fde5	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170500/SLX/65993814/46872_1#47/46872_1#47/kraken.report
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	19993c72-3f1e-41a9-92ab-b7557dbc72c3	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10661218/SLX/65991866/46321_1#369/46321_1#369/spades_assembly/contigs.fa
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	cdf5c9c1-e217-4ea5-9d51-c322d3e88ab9	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10661805/SLX/65990211/46358_2#13/46358_2#13/spades_assembly/annotation/46358_2#13.gff
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	87c957b4-6303-4447-98d5-522152e39dc1	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10661633/SLX/65992498/46321_2#124/46321_2#124/spades_assembly/annotation/46321_2#124.gff
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	e51f497c-5db5-43ab-9ff1-4dac64e2228b	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170397/SLX/65993156/46736_1#259/46736_1#259/spades_assembly/annotation/46736_1#259.gff
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	1a21f052-b9c0-4d8e-997f-c895d4cc13a9	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10662476/SLX/65992259/46321_2#130/46321_2#130/spades_assembly/contigs.fa
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	f6c3c23a-7d3d-4d2f-9722-c7f8497b966f	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10660921/SLX/65992223/46321_1#336/46321_1#336/spades_assembly/annotation/46321_1#336.gff
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	a15145b5-81b9-429c-ac45-145100e7ab1d	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170818/SLX/67518575/47195_1#78/47195_1#78/spades_assembly/annotation/47195_1#78.gff
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	d0cc2db7-9782-4f9b-900d-e3dcbedd831c	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10661552/SLX/65992536/46321_2#349/46321_2#349/spades_assembly/annotation/46321_2#349.gff
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	8b2f27cd-69b8-4ad5-bec4-2fa6e7eb2960	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170436/SLX/65993429/46736_1#31/46736_1#31/spades_assembly/contigs.fa
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	f4244af7-cfc9-4607-936c-e31f343ecfb8	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10662778/SLX/65990096/46358_2#88/46358_2#88/kraken.report
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	83a510ab-b0ef-42b0-990f-05247f60ea91	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170478/SLX/65993151/46736_1#179/46736_1#179/spades_assembly/annotation/46736_1#179.gff
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	9919195a-2162-44a7-9e0e-194339e45ad7	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170770/SLX/67518421/47195_1#282/47195_1#282/kraken.report
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	0a000ce7-e5f0-4855-9464-8bb71cf77d8c	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10662365/SLX/65992585/46321_2#367/46321_2#367/spades_assembly/annotation/46321_2#367.gff
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	f877aa9c-fa58-45fc-bb60-7358c728101c	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10662118/SLX/65992281/46321_2#99/46321_2#99/kraken.report
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	59b24667-dd01-4dd6-9195-f274095f9176	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10662205/SLX/65992573/46321_2#175/46321_2#175/kraken.report
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	337e7275-baa1-4f75-92c6-318a6532048d	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10661829/SLX/65990069/46358_2#39/46358_2#39/spades_assembly/contigs.fa
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	4195f2f2-3754-4543-b0f0-3d98b011961c	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10662649/SLX/65990082/46358_2#247/46358_2#247/kraken.report
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	c68b0975-2248-44ea-b13b-b79e811dd8c4	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10661491/SLX/65992386/46321_2#247/46321_2#247/spades_assembly/contigs.fa
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	6d281285-4ccd-423a-a65a-d906099dee67	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10661570/SLX/65992586/46321_2#383/46321_2#383/spades_assembly/contigs.fa
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	86707e0d-d10f-42de-96c3-4acf29996941	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10662519/SLX/65989972/46358_2#19/46358_2#19/kraken.report
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	57e08c01-2fe4-4bbe-b3c5-2dcb1271624c	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10662224/SLX/65992527/46321_2#205/46321_2#205/spades_assembly/contigs.fa
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	39970d9a-ea87-4602-89f4-010bf0f25039	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10662757/SLX/65992359/46321_2#198/46321_2#198/kraken.report
