run_accession,sample_accession
ERR3425091,SAMEA4623159
ERR3425159,SAMEA4620499
ERR3425170,SAMEA4620510
ERR3425175,SAMEA4620515
ERR3425179,SAMEA4620519
ERR3448858,SAMEA4620287
ERR3425182,SAMEA4620522
ERR3904260,SAMEA4622221
ERR3425183,SAMEA4620523
ERR3904270,SAMEA4622231
ERR3425184,SAMEA4620524
ERR3904297,SAMEA4622266
ERR3425186,SAMEA4620526
ERR3904316,SAMEA4622277
ERR3425193,SAMEA4620533
ERR3904332,SAMEA4622293
ERR3425195,SAMEA4620535
ERR3904418,SAMEA4622379
ERR3425209,SAMEA4620549
ERR3425211,SAMEA4620551
ERR3904451,SAMEA4622412
ERR3425212,SAMEA4620552
ERR3410268,SAMEA4621268
ERR3425214,SAMEA4620554
ERR3410271,SAMEA4621271
ERR3425215,SAMEA4620555
ERR3410277,SAMEA4621277
ERR3425220,SAMEA4620560
ERR3410280,SAMEA4621280
ERR3425222,SAMEA4620562
ERR3410283,SAMEA4621283
ERR3425228,SAMEA4620568
ERR3410288,SAMEA4621288
ERR3425231,SAMEA4620571
ERR3410305,SAMEA4621305
ERR3425238,SAMEA4620578
ERR3410306,SAMEA4621306
ERR3425240,SAMEA4620580
ERR3410313,SAMEA4621313
ERR3410270,SAMEA4621270
ERR3425248,SAMEA4620588
ERR3410316,SAMEA4621316
ERR3425252,SAMEA4620592
ERR3410275,SAMEA4621275
ERR3425253,SAMEA4620593
ERR3410318,SAMEA4621318
ERR3410276,SAMEA4621276
ERR3425255,SAMEA4620595
ERR3410297,SAMEA4621297
ERR3410319,SAMEA4621319
ERR3425312,SAMEA4620652
ERR3410307,SAMEA4621307
ERR3410321,SAMEA4621321
ERR3425315,SAMEA4620655
ERR3410310,SAMEA4621310
ERR3410322,SAMEA4621322
ERR3425316,SAMEA4620656
ERR3410317,SAMEA4621317
ERR3410329,SAMEA4621329
ERR3425319,SAMEA4620659
ERR3410323,SAMEA4621323
ERR3410334,SAMEA4621334
ERR3425322,SAMEA4620662
ERR3410333,SAMEA4621333
ERR3410335,SAMEA4621335
ERR3425325,SAMEA4620665
ERR3410342,SAMEA4621342
ERR3410344,SAMEA4621344
ERR3425328,SAMEA4620668
