Isolate,Region,Cohort,Country,Year,Species
ERR3439988,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410561,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3439998,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904324,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904141,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904395,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412089,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411659,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411904,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904186,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410616,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3440004,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440186,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410633,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410493,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410606,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904292,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410745,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410308,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410960,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411630,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411660,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411708,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412027,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410279,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904400,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3439931,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3425717,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410489,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440314,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411667,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411704,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411756,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440200,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410602,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3425540,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904079,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411820,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411611,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439979,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412018,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411654,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411707,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411042,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3411989,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3440097,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3440049,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904342,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904451,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411592,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425500,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411637,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411670,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411715,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411742,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412137,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410288,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439977,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440023,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411848,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440021,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410769,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410592,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904102,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
