Sample,Isolate,Country,Year,Species,Description,Region
SEANFDS13170967,HINF3016UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
SEANFDS13170968,HINF3018UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
SEANFDS13170969,HINF3026UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
SEANFDS13170970,HINF3028UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
SEANFDS13170971,HINF3034UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
SEANFDS13170972,HINF3040UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
SEANFDS13170973,HINF3042UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
SEANFDS13170974,HINF3045UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
SEANFDS13170975,HINF3046UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
SEANFDS13170976,HINF3047UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
SEANFDS13170977,HINF3048UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
SEANFDS13170978,HINF3061UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
SEANFDS13170979,HINF3063UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
SEANFDS13170980,HINF3067UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
SEANFDS13170981,HINF3068UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
SEANFDS13170982,HINF3074UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
SEANFDS13170983,HINF3077UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
SEANFDS13170984,HINF3110UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
SEANFDS13170985,HINF3119UHS,United Kingdom,2009,Haemophilus influenzae,Haemophilus influenzae,Hampshire
