# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	3	632	-	NLBCKH_001		(3' truncated) hypothetical protein	
contig_1	cds	645	1337	-	NLBCKH_002		type IV secretion system protein	KEGG:K03200, RefSeq:WP_105892266.1, SO:0001217, UniParc:UPI000D0126AC, UniRef:UniRef100_UPI000D0126AC, UniRef:UniRef50_A0A1T0AX86, UniRef:UniRef90_UPI000D0126AC
contig_1	cds	1353	3767	-	NLBCKH_003		TraB/VirB4-like protein	RefSeq:WP_105892267.1, SO:0001217, UniParc:UPI000D01BFF0, UniRef:UniRef100_UPI000D01BFF0, UniRef:UniRef50_Q8VRD5, UniRef:UniRef90_Q8VRD5
contig_1	cds	3739	4095	-	NLBCKH_004		TraA/VirB3-like protein	RefSeq:WP_105892268.1, SO:0001217, UniParc:UPI000D015116, UniRef:UniRef100_UPI000D015116, UniRef:UniRef50_A0A1V3KKJ0, UniRef:UniRef90_Q8VRD6
contig_1	cds	4178	4492	-	NLBCKH_005		TraC-like protein	RefSeq:WP_105892269.1, SO:0001217, UniParc:UPI000D01A599, UniRef:UniRef100_UPI000D01A599, UniRef:UniRef50_Q8VRD7, UniRef:UniRef90_Q8VRD7
contig_1	cds	4511	5194	-	NLBCKH_006		TraB-like protein	RefSeq:WP_105892270.1, SO:0001217, UniParc:UPI000D017A32, UniRef:UniRef100_UPI000D017A32, UniRef:UniRef50_A0A1V3IX29, UniRef:UniRef90_Q8VRD8
contig_1	cds	5307	5588	-	NLBCKH_007		hypothetical protein	RefSeq:WP_112077208.1, SO:0001217, UniParc:UPI000DD4D942, UniRef:UniRef100_UPI000DD4D942, UniRef:UniRef50_UPI002879411D, UniRef:UniRef90_UPI000DD4D942
contig_1	cds	5590	5808	-	NLBCKH_008		hypothetical protein	RefSeq:WP_050540713.1, SO:0001217, UniParc:UPI00067AE483, UniRef:UniRef100_UPI00067AE483, UniRef:UniRef50_A0A9Q6Z1M5, UniRef:UniRef90_UPI00067AE483
contig_1	cds	6426	7442	+	NLBCKH_009		Replication protein	RefSeq:WP_116954135.1, SO:0001217, UniParc:UPI000E34DACE, UniRef:UniRef100_UPI000E34DACE, UniRef:UniRef50_Q8VRE1, UniRef:UniRef90_Q8VRE1
contig_1	cds	8374	8952	+	NLBCKH_010		DUF4304 domain-containing protein	RefSeq:WP_105892273.1, SO:0001217, UniParc:UPI000D01A208, UniRef:UniRef100_UPI000D01A208, UniRef:UniRef50_Q8VRE2, UniRef:UniRef90_Q8VRE2
contig_1	cds	9078	9344	+	NLBCKH_011		DUF1456 domain-containing protein	RefSeq:WP_050540712.1, SO:0001217, UniParc:UPI0002FEA91D, UniRef:UniRef100_UPI000518C999, UniRef:UniRef50_A0A9X4PF05, UniRef:UniRef90_UPI001890B1A6
contig_1	cds	9602	10162	+	NLBCKH_012		hypothetical protein	SO:0001217, UniRef:UniRef50_Q8VRE3, UniRef:UniRef90_Q8VRE3
