Taxon,Cluster
46321_1#351_fa,1
SAMEA4621199_fa,1
SAMEA4621729_fa,1
47195_1#157_fa,1
SAMEA4622832_fa,1
SAMEA4620667_fa,1
SAMEA4621972_fa,1
SAMEA4622013_fa,1
SAMEA4621117_fa,1
SAMEA4621673_fa,1
SAMEA4621879_fa,1
SAMEA4622276_fa,1
SAMEA4621914_fa,1
SAMEA4620342_fa,1
SAMEA4622402_fa,1
SAMEA4622208_fa,1
SAMEA4621183_fa,1
46321_2#165_fa,1
SAMEA4621815_fa,1
SAMEA4622252_fa,1
SAMEA4621924_fa,1
SAMEA4620536_fa,1
46736_1#82_fa,1
SAMEA4621006_fa,1
SAMEA4622873_fa,1
46358_2#37_fa,1
46321_2#85_fa,1
SAMEA4620988_fa,1
46736_1#327_fa,1
46321_1#341_fa,1
46736_1#263_fa,1
SAMEA4620998_fa,1
47195_1#170_fa,1
46321_1#383_fa,1
47195_1#47_fa,1
SAMEA4620663_fa,1
47195_1#147_fa,1
46358_2#10_fa,1
46736_1#248_fa,1
46872_1#67_fa,1
SAMEA4622129_fa,1
46872_1#11_fa,1
SAMEA4620858_fa,1
47195_1#65_fa,1
SAMEA4622058_fa,1
SAMEA4621208_fa,1
SAMEA4622350_fa,1
SAMEA4622753_fa,1
46321_2#201_fa,1
46321_2#205_fa,1
SAMEA4621177_fa,1
SAMEA4621423_fa,1
SAMEA4621772_fa,1
SAMEA4622109_fa,1
SAMEA4622053_fa,1
SAMEA4622511_fa,1
46472_2#248_fa,1
SAMEA4621809_fa,1
46321_2#310_fa,1
46736_1#307_fa,1
47195_1#263_fa,1
46358_2#372_fa,1
SAMEA4620355_fa,1
46358_2#236_fa,1
SAMEA4622264_fa,1
46321_1#151_fa,1
SAMEA4622290_fa,1
SAMEA4622603_fa,1
47195_1#286_fa,1
SAMEA4622652_fa,1
46321_1#314_fa,1
SAMEA4621111_fa,1
46358_2#231_fa,1
46321_2#59_fa,1
46872_1#45_fa,1
46321_1#374_fa,1
SAMEA4620788_fa,1
SAMEA4622236_fa,1
47195_1#229_fa,1
47195_1#207_fa,1
SAMEA4621188_fa,1
46321_2#293_fa,1
SAMEA4621210_fa,1
SAMEA4621582_fa,1
SAMEA4620363_fa,1
46358_2#67_fa,1
46872_1#133_fa,1
46321_2#203_fa,1
47195_1#106_fa,1
46472_2#252_fa,1
46321_2#95_fa,1
SAMEA4620276_fa,1
46321_2#333_fa,1
46736_1#325_fa,1
SAMEA4621872_fa,1
SAMEA4622397_fa,1
46472_2#346_fa,1
46736_1#305_fa,1
SAMEA4620287_fa,1
46321_1#276_fa,1
SAMEA4620392_fa,1
46358_2#276_fa,1
SAMEA4620734_fa,1
46321_2#255_fa,1
46736_1#257_fa,1
46736_1#349_fa,1
SAMEA4620336_fa,1
SAMEA4622522_fa,1
46321_2#133_fa,1
SAMEA4620717_fa,1
SAMEA4620995_fa,1
SAMEA4622778_fa,1
46321_2#368_fa,1
SAMEA4620581_fa,1
SAMEA4622926_fa,1
SAMEA4621996_fa,1
SAMEA4622063_fa,1
46321_2#354_fa,1
47195_1#46_fa,1
SAMEA4621026_fa,1
SAMEA4620270_fa,1
SAMEA4620431_fa,1
46736_1#156_fa,1
46736_1#55_fa,1
SAMEA4620726_fa,1
46321_1#384_fa,1
46358_2#291_fa,1
46321_1#153_fa,1
46358_2#15_fa,1
47195_1#177_fa,1
46321_2#320_fa,1
46736_1#302_fa,1
SAMEA4620428_fa,1
46472_2#283_fa,1
47195_1#245_fa,1
SAMEA4620328_fa,1
SAMEA4621197_fa,1
SAMEA4622894_fa,1
46472_2#317_fa,1
46321_2#111_fa,1
46736_1#126_fa,1
SAMEA4621479_fa,1
SAMEA4620298_fa,1
SAMEA4620842_fa,1
SAMEA4620668_fa,1
47195_1#302_fa,1
SAMEA4622952_fa,1
SAMEA4620782_fa,1
SAMEA4621307_fa,1
46321_2#197_fa,1
46358_2#336_fa,1
SAMEA4621943_fa,1
SAMEA4621631_fa,1
SAMEA4621929_fa,1
SAMEA4622232_fa,1
46321_2#11_fa,1
46358_2#234_fa,1
46321_1#155_fa,1
SAMEA4622141_fa,1
SAMEA4620656_fa,1
46358_2#269_fa,1
46736_1#30_fa,1
SAMEA4620572_fa,1
46358_2#74_fa,1
SAMEA4622079_fa,1
SAMEA4621857_fa,1
SAMEA4621562_fa,1
46358_2#70_fa,1
SAMEA4620416_fa,1
