# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	385	729	-	LGFKNI_001		H-NS family nucleoid-associated regulatory protein	RefSeq:WP_120649648.1, SO:0001217, UniParc:UPI0009C3DC03, UniRef:UniRef100_UPI001C7CA6F8, UniRef:UniRef50_A0A378QCX2, UniRef:UniRef90_UPI001C7CA6F8
contig_1	cds	882	1316	+	LGFKNI_002		hypothetical protein	RefSeq:WP_081570110.1, SO:0001217, UniParc:UPI0009C29977, UniRef:UniRef100_UPI000EBC2E6A, UniRef:UniRef50_A0A378QCX9, UniRef:UniRef90_UPI000EBC2E6A
contig_1	cds	1471	1800	+	LGFKNI_003		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A378QDE7, UniRef:UniRef90_UPI0009C1D894
contig_1	cds	1797	2537	+	LGFKNI_004		Sporulation initiation inhibitor protein soj	KEGG:K03496, SO:0001217, UniRef:UniRef50_A0A2D2LWZ7, UniRef:UniRef90_A0A378QGW7
contig_1	cds	2550	3473	+	LGFKNI_005		ParB/RepB/Spo0J family partition protein	KEGG:K03497, SO:0001217, UniRef:UniRef50_UPI00128CB457, UniRef:UniRef90_UPI0009C2985D
contig_1	cds	3692	4315	+	LGFKNI_006		lytic transglycosylase domain-containing protein	RefSeq:WP_081570106.1, SO:0001217, UniParc:UPI0009C3A171, UniRef:UniRef100_UPI0009C3A171, UniRef:UniRef50_A0A378QCN4, UniRef:UniRef90_UPI00128BEF2B
contig_1	cds	4578	4928	+	LGFKNI_007		TrbC/VirB2 family protein	KEGG:K12069, RefSeq:WP_120649640.1, SO:0001217, UniParc:UPI000EA92461, UniRef:UniRef100_UPI000EA92461, UniRef:UniRef50_A0A378QCC9, UniRef:UniRef90_UPI00128C9AB7
contig_1	cds	4969	5259	+	LGFKNI_008	traL	type IV conjugative transfer system protein TraL	KEGG:K12068, SO:0001217, UniRef:UniRef50_A0A378QCD5, UniRef:UniRef90_UPI00128E6BF3
contig_1	cds	5264	5854	+	LGFKNI_009		TraE/TraK family type IV conjugative transfer system protein	KEGG:K12067, SO:0001217, UniRef:UniRef50_A0A378QCT6, UniRef:UniRef90_UPI000EA9BDD9
contig_1	cds	5793	6521	+	LGFKNI_010	traK	type-F conjugative transfer system secretin TraK	KEGG:K12066, SO:0001217, UniRef:UniRef50_A0A378QCC4, UniRef:UniRef90_UPI000EAA46E4
contig_1	cds	6518	7765	+	LGFKNI_011		TraB/VirB10 family protein	KEGG:K12065, RefSeq:WP_152704723.1, SO:0001217, UniParc:UPI00128C7F0A, UniRef:UniRef100_UPI00128C7F0A, UniRef:UniRef50_A0A378QDK6, UniRef:UniRef90_UPI0009C20524
contig_1	cds	7775	8254	+	LGFKNI_012	dsbC	DsbC family protein	RefSeq:WP_081570100.1, SO:0001217, UniParc:UPI0009C29F2B, UniRef:UniRef100_UPI0009C29F2B, UniRef:UniRef50_A0A378QCY7, UniRef:UniRef90_UPI0009C29F2B
contig_1	cds	8242	8979	+	LGFKNI_013	dsbC	DsbC family protein	RefSeq:WP_152703609.1, SO:0001217, UniParc:UPI00128BC145, UniRef:UniRef100_UPI00128BC145, UniRef:UniRef50_A0A378QDF4, UniRef:UniRef90_UPI00128C538D
contig_1	cds	8976	9542	+	LGFKNI_014	traV	type IV conjugative transfer system lipoprotein TraV	KEGG:K12064, RefSeq:WP_152704726.1, SO:0001217, UniParc:UPI00128C3A01, UniRef:UniRef100_UPI00128C3A01, UniRef:UniRef50_A0A378QGX7, UniRef:UniRef90_UPI0009C3DE34
contig_1	cds	9542	10654	+	LGFKNI_015		F pilus assembly Type-IV secretion system for plasmid transfer	SO:0001217, UniRef:UniRef50_A0A378QE76, UniRef:UniRef90_UPI00128CCBD7
contig_1	cds	10629	13238	+	LGFKNI_016	traC	type IV secretion system protein TraC	KEGG:K12063, RefSeq:WP_152726696.1, SO:0001217, UniParc:UPI00128BB7AE, UniRef:UniRef100_UPI00128BB7AE, UniRef:UniRef50_A0A378QCP4, UniRef:UniRef90_UPI00128B2DD6
