filename	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
003582_contigs.fa	1972851	27	73068.56	460093	566	460	2	316212	3	174261	5	138546	7
008886_contigs.fa	1796523	11	163320.27	1008315	407	425	1	1008315	1	369736	2	124721	4
009597_contigs.fa	1809860	9	201095.56	1009397	837	12	2	1009397	1	369401	2	114992	4
00a215_contigs.fa	1892824	7	270403.43	1213297	924	100	2	1213297	1	372476	2	155115	3
00a72c_contigs.fa	1934589	14	138184.93	685128	490	241	4	467181	2	354973	3	133986	5
00d37d_contigs.fa	1903115	22	86505.23	533051	340	71	3	498472	2	117929	5	39750	9
01037f_contigs.fa	1995132	19	105006.95	467651	400	391	6	301370	3	211101	5	133968	7
010b95_contigs.fa	1934443	24	80601.79	544249	464	419	1	148461	3	111121	6	60441	10
0110af_contigs.fa	1897400	11	172490.91	706710	693	318	3	459355	2	347106	3	135976	5
014dc7_contigs.fa	1841688	6	306948.00	1516355	793	241	1	1516355	1	1516355	1	184748	2
01716c_contigs.fa	1891941	16	118246.31	929999	788	12	2	426760	2	426760	2	61236	6
017455_contigs.fa	1858133	5	371626.60	1503824	3578	306	3	1503824	1	1503824	1	170090	2
0175cd_contigs.fa	1892797	11	172072.45	517314	573	81	2	455215	2	228129	4	139082	6
0195b2_contigs.fa	1945027	9	216114.11	697254	2183	1185	6	459063	2	359690	3	140799	5
01a0e7_contigs.fa	1952476	10	195247.60	705458	2196	1018	6	460098	2	358530	3	137467	5
01d831_contigs.fa	2048464	32	64014.50	457118	370	866	4	290363	3	215509	5	135927	7
01eff4_contigs.fa	1884862	19	99203.26	459907	540	218	2	347085	3	227958	4	138598	6
01fe3c_contigs.fa	1935378	8	241922.25	577601	4266	71	2	455342	2	451294	3	135264	5
0211d2_contigs.fa	1781357	14	127239.79	548537	377	187	1	372460	2	358778	3	104627	6
0220e5_contigs.fa	1899905	7	271415.00	724783	4322	382	3	457499	2	352716	3	220004	4
022bed_contigs.fa	1923554	51	37716.75	556815	312	71	1	171877	3	126591	5	64837	9
02a059_contigs.fa	1813232	14	129516.57	587898	501	0	0	376827	2	135191	4	85199	7
02d90e_contigs.fa	1885189	10	188518.90	682334	2372	74	2	563404	2	460157	3	460157	3
030348_contigs.fa	1820610	14	130043.57	687385	323	528	2	241060	2	131476	5	111582	8
03219b_contigs.fa	1877019	16	117313.69	682483	707	352	3	451501	2	347085	3	211190	4
035381_contigs.fa	1882168	13	144782.15	443112	574	55	1	278703	3	228004	4	134968	7
03a8fd_contigs.fa	1840558	45	40901.29	650493	304	92	1	455114	2	348138	3	220118	4
03a96e_contigs.fa	1897230	23	82488.26	545984	426	301	4	192644	3	122009	5	60320	9
03c1fb_contigs.fa	1979652	20	98982.60	822690	394	520	4	306715	2	175089	4	133949	6
03db22_contigs.fa	1927014	8	240876.75	509586	341	163	4	465816	2	230744	4	219981	5
03f29d_contigs.fa	1923440	13	147956.92	682077	345	184	2	419437	2	172350	4	104237	7
03fe0b_contigs.fa	1798432	9	199825.78	1014320	470	504	2	1014320	1	347819	2	117961	4
040f86_contigs.fa	1860201	14	132871.50	955694	452	432	1	955694	1	405192	2	85410	4
0445c7_contigs.fa	2010221	14	143587.21	666043	642	580	8	517006	2	352525	3	156478	5
045913_contigs.fa	2008932	39	51511.08	501750	347	1220	5	453619	3	453619	3	109619	6
