Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# Ns per 100 kbp
46321_1#218	262	262	133	60	5	0	1800486	1800486	1448307	917913	154580	0	262	39250	1800486	37.75	10030	6036	59	116	0.00
46321_1#119	37	16	11	9	8	7	1972260	1962739	1948260	1934842	1923868	1889321	25	481944	1969152	41.57	345656	219018	3	4	0.00
46321_1#151	36	21	13	11	9	7	2033837	2029710	2011025	1999578	1970653	1885636	23	448859	2031213	41.17	349726	212476	3	5	0.00
46321_1#184	31	19	14	11	10	9	1800018	1795544	1786016	1762472	1752375	1724820	22	521553	1798166	37.90	404566	115584	2	6	0.00
46321_1#115	24	15	9	7	7	6	2018244	2015311	2001135	1987768	1987768	1947985	16	785659	2015877	41.46	459887	346325	2	3	0.00
46321_1#121	12	10	7	6	6	5	1898326	1897939	1887967	1882234	1882234	1856479	10	726018	1897939	41.65	439997	347689	2	3	0.00
46321_1#215	25	13	10	7	7	6	2052845	2049621	2042437	2024452	2024452	1984697	15	562369	2050712	41.25	361152	243523	3	4	0.00
46321_1#125	44	19	13	11	9	8	2078296	2070343	2054340	2043638	1998562	1958791	23	453468	2072860	41.31	361426	200300	3	5	0.00
46321_1#247	10	9	6	5	5	5	1899238	1898957	1888931	1883198	1883198	1883198	9	724542	1898957	41.43	467341	347275	2	3	0.00
46321_1#127	54	17	13	11	7	7	1916655	1902074	1889632	1877882	1813491	1813491	28	435483	1910696	41.51	309785	184446	3	5	0.00
46321_1#24	35	22	13	10	9	9	1958875	1955433	1932974	1916091	1897595	1897595	24	460033	1956662	41.37	284742	167550	3	5	0.00
46321_1#154	33	20	10	8	8	7	1948267	1942179	1920605	1909436	1909436	1869654	26	492019	1946571	41.63	348328	221812	3	4	0.00
46321_1#147	32	14	10	8	6	5	1899722	1893804	1883448	1872133	1844453	1819068	18	677232	1896500	41.52	432511	349485	2	3	0.00
46321_1#183	44	24	15	11	9	7	1982823	1973423	1956479	1929316	1890214	1815225	32	643665	1980062	41.42	354088	161676	2	5	0.00
46321_1#123	48	29	22	16	15	12	1908380	1901504	1884603	1842946	1826515	1711932	34	364706	1905047	41.42	166237	98095	4	8	0.00
46321_1#152	23	11	8	8	7	5	1867911	1864606	1860424	1860424	1850192	1791446	12	1043156	1865246	37.82	1043156	147652	1	3	0.00
46321_1#149	19	14	9	9	8	7	1869991	1868380	1859402	1859402	1841599	1794971	15	780350	1868931	41.61	296643	224172	2	4	0.00
46321_1#187	35	22	17	15	13	8	1996118	1990233	1981261	1969006	1936611	1750549	28	566707	1994280	41.52	293386	136236	3	5	0.00
46321_1#159	49	15	9	8	8	7	1972503	1958863	1939951	1934292	1934292	1901187	25	448494	1966221	41.52	350949	345710	3	4	0.00
46321_1#22	23	13	9	8	8	7	1868149	1864791	1848106	1842372	1842372	1809633	15	453996	1866153	41.54	348811	227767	3	4	0.00
46321_1#153	12	10	6	5	5	5	1890034	1889533	1875937	1870203	1870203	1870203	10	705180	1889533	41.51	462148	348086	2	3	0.00
46321_1#148	22	12	7	6	6	5	1872739	1868937	1854638	1848921	1848921	1809761	15	649627	1870934	41.56	454877	349179	2	3	0.00
46321_1#221	48	23	14	11	10	8	1978779	1967758	1946499	1929670	1909786	1836563	33	405134	1974621	41.33	332411	171297	3	6	0.00
46321_1#214	30	16	12	9	8	7	1840888	1837142	1825822	1803524	1780108	1752503	18	604968	1838870	37.90	359960	188324	2	4	0.00
46321_1#249	46	24	14	9	9	9	1973150	1964129	1944716	1909923	1909923	1909923	32	467448	1969410	41.49	291335	179453	3	5	0.00
46321_1#209	36	20	11	9	9	8	1927252	1920931	1898104	1883510	1883510	1848623	23	454999	1923417	41.52	320928	190079	3	5	0.00
46321_1#212	25	12	9	8	7	5	1869022	1866013	1861534	1852982	1842750	1784004	12	1035614	1866013	37.82	1035614	147652	1	3	0.00
46321_1#155	43	17	9	8	7	6	1966326	1956885	1936720	1930998	1916959	1876307	23	697828	1960950	41.53	454815	361213	2	3	0.00
46321_1#251	33	19	14	9	9	9	1894305	1889867	1877285	1839145	1839145	1839145	22	460420	1891664	41.56	235361	167561	3	6	0.00
46321_1#189	46	17	10	9	8	7	1928232	1919972	1902492	1896758	1883807	1848920	20	454916	1922458	41.51	321234	190079	3	5	0.00
46321_1#157	32	15	11	10	10	9	1871307	1865899	1855629	1849896	1849896	1823507	19	430996	1868550	41.55	227708	158409	3	6	0.00
46321_1#245	21	13	8	7	6	6	1943376	1940102	1927610	1921877	1905493	1905493	16	764657	1941941	41.42	459884	276711	2	3	0.00
46321_1#146	44	21	14	11	8	8	2000620	1992838	1978248	1961682	1911234	1911234	26	457346	1996016	41.36	294202	210814	3	5	0.00
46321_1#181	36	23	13	11	8	8	1980285	1975507	1952667	1938336	1875735	1875735	27	453868	1978479	41.28	348590	210078	3	5	0.00
46321_1#185	26	17	11	9	8	7	1940465	1937268	1925158	1913710	1894183	1849887	20	458896	1939384	41.37	349833	210147	3	4	0.00
46321_1#190	22	12	9	8	8	6	1821234	1819050	1813194	1803923	1803923	1749160	13	1049596	1819551	37.94	1049596	143510	1	3	0.00
46321_1#19	35	20	12	10	8	7	1957606	1951833	1937222	1925542	1890164	1845873	24	650005	1955080	41.19	434700	208789	2	4	0.00
46321_1#177	24	16	9	8	7	7	1895458	1893407	1872435	1866702	1842734	1842734	17	464889	1894019	41.56	348074	227201	3	4	0.00
46321_1#188	18	14	8	8	8	7	1852118	1851298	1833838	1833838	1833838	1806271	14	543838	1851298	38.01	422527	138752	2	4	0.00
46321_1#117	22	13	8	7	7	6	1939280	1936718	1922157	1916424	1916424	1882244	14	753217	1937431	41.44	460702	284560	2	3	0.00
46321_1#255	27	17	8	5	5	5	1900462	1896080	1871139	1854563	1854563	1854563	22	694437	1899454	41.49	454694	358454	2	3	0.00
46321_1#241	34	19	10	9	8	7	1960839	1955855	1934412	1928679	1907962	1872366	22	707073	1958303	41.37	445595	177737	2	4	0.00
46321_1#191	36	20	14	10	10	8	1981931	1975967	1958519	1930976	1930976	1864620	24	436062	1978872	41.60	352888	170219	3	5	0.00
46321_1#23	53	25	15	14	12	8	1847311	1839987	1817684	1808001	1773279	1637328	28	543855	1842498	38.03	263814	110645	3	6	0.00
46321_1#213	18	13	6	5	5	5	1896658	1895056	1874509	1869216	1869216	1869216	14	692648	1895668	41.56	463945	347956	2	3	0.00
46321_1#20	23	13	6	5	5	5	1850086	1847067	1834672	1829041	1829041	1829041	15	674715	1848423	41.72	450757	348785	2	3	0.00
46321_1#270	26	17	14	12	12	10	1782933	1780150	1773559	1759243	1759243	1688886	18	407398	1780839	37.87	230496	131074	3	6	0.00
46321_1#158	44	20	14	12	12	10	1825619	1819199	1809475	1794781	1794781	1727926	22	505154	1820868	37.90	182074	114591	3	6	0.00
46321_1#211	33	18	13	9	9	7	1912602	1908309	1896155	1871329	1871329	1800756	21	462805	1910088	41.41	231932	205128	3	5	0.00
46321_1#248	35	16	9	8	7	5	1945369	1938220	1919939	1914309	1903040	1828212	20	655495	1941484	41.43	456629	347889	2	3	0.00
46321_1#210	44	20	9	8	8	7	2005993	1996653	1972625	1966892	1966892	1918830	26	453030	2001334	41.34	342981	209928	3	5	0.00
46321_1#281	22	16	11	9	8	8	1949293	1947866	1931575	1918067	1893183	1893183	17	466901	1948377	41.47	346057	158565	3	5	0.00
46321_1#276	38	19	11	8	8	7	1906681	1900563	1881528	1861487	1861487	1826010	23	655337	1903682	41.51	465228	169233	2	4	0.00
46321_1#150	41	15	11	11	10	9	1815351	1806279	1800007	1800007	1784437	1756866	21	501624	1811169	37.97	263042	113794	3	6	0.00
46321_1#224	21	15	7	5	5	5	1861595	1859702	1843123	1828125	1828125	1828125	16	652983	1860426	41.53	463673	358828	2	3	0.00
46321_1#178	23	12	8	8	8	7	1826688	1821537	1808267	1808267	1808267	1780709	17	536836	1825108	37.99	422556	138693	2	4	0.00
46321_1#182	33	13	12	11	10	8	1884312	1877403	1875990	1868339	1855103	1793358	17	869061	1880470	37.95	214599	124915	2	5	0.00
46321_1#219	22	13	8	6	6	6	1912045	1908886	1897351	1885952	1885952	1885952	15	656780	1910166	41.46	454342	348661	2	3	0.00
46321_1#222	34	13	10	10	10	6	1794668	1788768	1783445	1783445	1783445	1618832	16	807970	1791198	38.00	291448	139655	2	4	0.00
46321_1#280	24	13	9	9	8	6	1903677	1901171	1896188	1896188	1885956	1827209	14	583171	1901672	37.93	459894	147634	2	4	0.00
46321_1#180	43	17	16	16	13	8	1820451	1812040	1810729	1810729	1758954	1584974	22	616832	1815580	37.93	326726	81318	2	6	0.00
46321_1#278	17	11	6	5	5	5	1929216	1927504	1914050	1908318	1908318	1908318	11	748697	1927504	41.47	455743	346255	2	3	0.00
46321_1#145	33	19	14	11	10	7	2006891	2001560	1990619	1972444	1958959	1850438	23	466949	2004653	41.19	300470	209880	3	5	0.00
46321_1#25	42	15	12	11	11	8	1781589	1775524	1769307	1760002	1760002	1643241	17	545425	1776548	37.85	391293	136264	2	4	0.00
46321_1#113	44	20	15	11	9	7	2034217	2024568	2013628	1985431	1955935	1872345	28	456931	2029716	41.25	349921	209941	3	5	0.00
46321_1#242	20	14	6	5	5	5	1864351	1862699	1844270	1838537	1838537	1838537	14	657774	1862699	41.61	461633	354040	2	3	0.00
46321_1#279	25	10	8	8	8	7	1865531	1860934	1858246	1858246	1858246	1830786	13	556031	1862827	38.11	406527	132709	2	4	0.00
46321_1#223	24	14	7	5	5	5	1866758	1862775	1847825	1832827	1832827	1832827	16	657043	1864443	41.51	464238	358833	2	3	0.00
46321_1#160	26	11	8	7	7	5	1812301	1808387	1805052	1795771	1795771	1742048	12	1044299	1809300	37.95	1044299	337170	1	2	0.00
46321_1#128	35	16	10	8	7	7	1898061	1890184	1872368	1861306	1846609	1846609	23	457325	1895190	41.49	358388	210825	3	4	0.00
46321_1#28	43	22	13	10	9	9	1980932	1973857	1952710	1935615	1914284	1914284	27	467530	1976849	41.47	348674	158322	3	5	0.00
46321_1#27	51	23	13	11	10	9	1942522	1931759	1906890	1895795	1872468	1839852	32	405140	1938110	41.36	285243	171297	3	6	0.00
46321_1#253	13	10	6	5	5	5	1901944	1901186	1888583	1883101	1883101	1883101	10	722376	1901186	41.47	449463	354967	2	3	0.00
46321_1#272	53	25	15	14	12	8	1847403	1840069	1817734	1808047	1773325	1637342	28	543851	1842580	38.03	263818	110645	3	6	0.00
46321_1#273	35	20	10	8	7	7	1861300	1856150	1834458	1820581	1807331	1807331	24	642520	1858922	41.50	457618	159918	2	4	0.00
46321_1#285	33	19	10	10	9	8	1922705	1918018	1897895	1897895	1887043	1851093	21	456659	1919741	41.52	290141	178232	3	5	0.00
46321_1#243	24	11	10	9	8	6	1921211	1915760	1914732	1909358	1894581	1821094	17	789738	1919479	41.61	359466	255896	2	4	0.00
46321_1#250	13	9	7	5	5	5	1932936	1931539	1924759	1913494	1913494	1913494	10	755813	1932390	41.45	454133	346023	2	3	0.00
46321_1#287	23	13	9	8	8	7	1885103	1881547	1866509	1860775	1860775	1820003	16	452497	1883409	41.55	348381	227660	3	4	0.00
46321_1#296	36	22	18	17	13	11	1813945	1808747	1799240	1794020	1711805	1655508	26	526087	1811735	37.99	140558	111333	4	7	0.00
46321_1#309	23	15	10	9	7	6	1922721	1921080	1904225	1898493	1861501	1812959	15	438003	1921080	41.53	352871	230434	3	4	0.00
46321_1#256	34	14	11	8	7	7	1912484	1905681	1902085	1879364	1865255	1865255	18	650430	1908561	41.60	346755	209885	2	4	0.00
46321_1#156	36	16	13	9	7	7	1910875	1903993	1899980	1875685	1838824	1838824	23	456888	1908526	41.56	348086	223287	3	4	0.00
46321_1#317	22	16	11	10	9	9	1879064	1875854	1859299	1853566	1829421	1829421	20	442009	1878625	41.59	227729	158418	3	6	0.00
46321_1#282	21	11	7	6	5	5	1909077	1905998	1895744	1890110	1878471	1878471	12	706487	1906789	41.55	463751	355342	2	3	0.00
46321_1#246	11	10	7	6	6	6	1837348	1837066	1827057	1821324	1821324	1821324	10	646358	1837066	41.69	468647	348860	2	3	0.00
46321_1#192	14	11	8	7	7	4	1849660	1848829	1842322	1832380	1832380	1741153	11	1193136	1848829	37.98	1193136	310939	1	2	0.00
46321_1#116	1138	609	248	115	24	5	4557756	4282858	3393772	2418385	1004049	397984	932	159205	4498423	39.64	11087	5143	99	245	0.00
46321_1#274	46	17	13	13	10	8	1957906	1948515	1938409	1938409	1883175	1819597	22	664230	1952610	38.05	427288	129985	2	4	0.00
46321_1#305	30	18	10	7	7	7	1894720	1891871	1871664	1854505	1854505	1854505	19	460709	1892526	41.57	284722	228688	3	4	0.00
46321_1#254	27	10	9	8	7	5	1807505	1802232	1800729	1792076	1781057	1717469	12	981913	1804174	37.81	981913	376598	1	2	0.00
46321_1#302	37	25	10	9	7	6	1938526	1933424	1902223	1896850	1863127	1816387	29	1051798	1936330	41.51	1051798	218177	1	3	0.00
46321_1#216	106	37	31	24	20	15	1964127	1944757	1935849	1884450	1809745	1640298	48	183732	1952134	38.23	111010	76000	7	12	0.00
46321_1#120	1475	827	235	109	20	6	4711772	4318164	3024951	2099387	816247	344213	1273	67159	4663686	39.71	9127	3279	134	351	0.00
46321_1#18	38	19	12	10	8	7	1939652	1932158	1910958	1897720	1857281	1822392	23	431816	1935382	41.55	277552	227671	3	5	0.00
46321_1#31	29	16	13	12	11	10	1997610	1991825	1984155	1978725	1961086	1923644	21	345684	1995716	41.49	215768	148349	4	7	0.00
46321_1#275	44	21	10	8	8	7	2003538	1993707	1966613	1955641	1955641	1907579	29	453059	1999715	41.34	338125	209928	3	5	0.00
46321_1#30	20	12	8	6	6	6	1963559	1961465	1949859	1938501	1938501	1938501	13	766230	1962120	41.36	459934	284795	2	3	0.00
46321_1#306	22	16	7	5	5	5	1857174	1854451	1838379	1824573	1824573	1824573	19	673344	1856317	41.69	448337	348404	2	3	0.00
46321_1#244	52	29	23	19	17	12	1918071	1912244	1901450	1869154	1826161	1638063	31	385472	1913643	38.02	113938	79522	5	9	0.00
46371_1#177	72	32	28	23	19	12	2028354	2018929	2011098	1975083	1903781	1612701	36	336739	2021649	39.59	112465	76240	6	11	0.00
46371_1#118	375	154	102	77	44	21	5026264	4946299	4809722	4631410	4084163	3286461	217	551862	4993137	35.75	96032	35486	10	33	0.00
46371_1#108	92	31	27	25	23	18	2077535	2062995	2055321	2044059	2005820	1825229	35	330245	2065856	39.60	92759	65028	7	14	0.00
46371_1#186	113	44	39	33	27	21	4074654	4056788	4049467	4007280	3906020	3660394	51	564290	4061911	40.48	212543	88239	6	13	0.00
46371_1#163	500	394	229	152	63	34	5944363	5916733	5492547	4951529	3571013	2569255	409	187833	5927512	36.28	36907	14513	44	110	0.00
46371_1#101	142	71	53	47	37	26	3979553	3963075	3919793	3882902	3711703	3324927	76	386542	3967224	40.56	134126	57332	9	20	0.00
46371_1#157	2062	630	124	50	27	14	4408088	3873957	2799197	2302978	1979317	1514648	1006	302056	4144608	38.74	16507	3309	32	202	0.00
46371_1#119	889	515	180	103	43	13	5559626	5338442	4582398	4057362	3123619	2072124	765	448131	5532304	40.18	31594	8712	32	114	0.00
46371_1#121	945	354	151	114	63	21	6223981	5999890	5490182	5240931	4390946	2897621	515	451453	6110409	39.69	46012	22779	25	72	0.00
46371_1#14	195	134	118	106	63	35	6402594	6386219	6334107	6237377	5494621	4520564	141	994132	6390740	49.01	89603	42327	17	41	0.00
46321_1#21	44	25	17	16	13	11	1808037	1803323	1786527	1779038	1734020	1673862	27	388232	1804700	38.01	154926	111054	4	7	0.00
46371_1#155	172	75	56	52	44	32	5696019	5665481	5616051	5588033	5444260	5023215	91	699646	5676945	39.87	154755	94729	10	21	0.00
46371_1#114	1724	898	152	64	35	19	6774335	6210794	4656210	4048020	3628900	3065907	1562	605633	6737047	39.89	33685	3452	27	250	0.00
46371_1#165	72	30	19	17	15	11	1982284	1967927	1941565	1927286	1901369	1771870	41	575662	1975622	38.27	139781	110847	4	8	0.00
46371_1#104	130	92	74	66	41	23	3820467	3808904	3763522	3701542	3301947	2704353	99	433720	3814118	40.49	79068	40014	11	27	0.00
46371_1#140	1035	684	275	123	26	4	5128217	4957580	3949680	2847380	1347172	632857	880	279442	5092609	41.51	11968	5483	96	251	0.00
46371_1#138	713	370	190	137	80	36	8910435	8760486	8353038	7945707	7047647	5514550	512	1312335	8865070	38.17	84404	29976	20	66	0.00
46371_1#107	6422	673	218	168	92	51	10123335	8134170	7340776	6977386	5795311	4374549	1862	357531	8941035	40.11	48978	12946	53	144	0.00
46371_1#154	106	52	45	41	34	25	3971382	3956457	3938305	3915198	3796953	3467141	58	466693	3960837	40.60	142755	62896	7	17	0.00
46371_1#206	146	84	63	56	44	31	7585237	7569301	7519123	7469328	7286732	6827151	90	1309372	7573209	36.31	575100	115105	5	15	0.00
46371_1#199	220	99	68	60	52	39	5910629	5870794	5805968	5746819	5611991	5126266	128	467755	5891548	39.72	134916	65784	12	27	0.00
46321_1#29	31	14	8	7	7	6	2009865	2003055	1988174	1982503	1982503	1938135	19	685730	2006651	41.19	467426	208812	2	4	0.00
46371_1#134	1635	1589	289	150	74	30	8959253	8949773	6529851	5548369	4379189	2829616	1591	288332	8951112	37.51	21927	4214	79	329	0.00
46371_1#171	1829	939	199	101	47	25	7039655	6493417	4876330	4198562	3380616	2562015	1573	242618	6982303	41.14	22802	3955	52	280	0.00
