id,Isolate,Species,Cohort,Region,Country,Year,Description,sample_accession_number,Classification,Cluster,sul2,aph(3'')-Ib,aph(6)-Id,tet(B),catA2,aph(6)-Id*,aph(3'')-Ib*,blaBRO-1,blaBRO-2,blaBRO-1*,blaBRO-1^,blaBRO-2*,AG261,AB778,AC411
46736_1#333_fa,MCAT13128SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308187,Seroresistant,Seroresistant_15,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#237_fa,MCAT4037UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747788,Seroresistant,Seroresistant_18,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent
47195_1#11_fa,MCAT3022UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2009,Single isolate,ERS14747731,Seroresistant,Seroresistant_18,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#78_fa,PCV-C-0682-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036389,Serosensitive,Serosensitive_107,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#149_fa,MCAT13289SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2019,Single isolate,ERS14308115,Serosensitive,Serosensitive_5,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#8_fa,MCAT4191UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747829,Serosensitive,Serosensitive_2,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#62_fa,MCAT14258SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308257,Serosensitive,Serosensitive_2,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#77_fa,MCAT3156UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2009,Single isolate,ERS14747720,Seroresistant,Seroresistant_22,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46472_2#155_fa,08B06534_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2008,Single isolate,ERS12035592,Seroresistant,Seroresistant_147,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#212_fa,PCV-C-1093-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036009,Seroresistant,Seroresistant_31,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#48_fa,MCAT4258UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747843,Serosensitive,Serosensitive_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#108_fa,MCAT4307UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747857,Seroresistant,Seroresistant_76,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#278_fa,MCAT14467SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308320,Seroresistant,Seroresistant_16,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#121_fa,MCAT4035UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747794,Seroresistant,Seroresistant_251,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#351_fa,PCV-C-0761-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035748,Seroresistant,Seroresistant_14,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46358_2#175_fa,PCV-C-1227-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036184,Seroresistant,Seroresistant_27,Present,Present,Present,Present,Present,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Present
47195_1#98_fa,MCAT4298UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747853,Seroresistant,Seroresistant_59,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#25_fa,PCV-C-1666-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12119054,Seroresistant,Seroresistant_293,Absent,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent
46736_1#302_fa,MCAT14100SOL,Moraxella catarrhalis,Hampshire (late),Hampshire,United Kingdom,2020,Single isolate,ERS14308214,Seroresistant,Seroresistant_110,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46358_2#137_fa,PCV-C-0473-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036163,Seroresistant,Seroresistant_285,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46358_2#242_fa,PCV-C-1004-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12119084,Seroresistant,Seroresistant_4,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#223_fa,MCAT5272UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2011,Single isolate,ERS14747954,Seroresistant,Seroresistant_109,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#29_fa,PCV-C-1272-3,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12119059,Seroresistant,Seroresistant_17,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#257_fa,PCV-C-1781-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036330,Seroresistant,Seroresistant_3,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#189_fa,09B11096_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2009,Single isolate,ERS12035665,Seroresistant,Seroresistant_200,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#127_fa,MCAT4219UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747834,Serosensitive,Serosensitive_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#273_fa,PCV-C-1726-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035912,Seroresistant,Seroresistant_11,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#29_fa,08B03351_Mcat,Moraxella catarrhalis,Maela,Maela,Thailand,2008,Single isolate,ERS12035586,Seroresistant,Seroresistant_194,Absent,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#379_fa,PCV-C-1510-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12035766,Seroresistant,Seroresistant_4,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#314_fa,PCV-C-0521-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036113,Seroresistant,Seroresistant_70,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46358_2#46_fa,PCV-C-1546-2,Moraxella catarrhalis,Siem Reap,Ankor,Cambodia,2019,Single isolate,ERS12036248,Seroresistant,Seroresistant_114,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#225_fa,MCAT4017UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2010,Single isolate,ERS14747782,Seroresistant,Seroresistant_132,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#129_fa,MCAT3209UHS,Moraxella catarrhalis,Hampshire (early),Hampshire,United Kingdom,2009,Single isolate,ERS14747759,Serosensitive,Serosensitive_9,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
