# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	374	1387	-	GNHMJG_001		Replication protein	SO:0001217, UniRef:UniRef50_Q8VRE1, UniRef:UniRef90_Q8VRE1
contig_1	cds	1977	2201	+	GNHMJG_002		hypothetical protein	RefSeq:WP_049365202.1, SO:0001217, UniParc:UPI00066A3CF3, UniRef:UniRef100_UPI00066A3CF3, UniRef:UniRef50_A0A9Q6Z1M5, UniRef:UniRef90_UPI002119C199
contig_1	cds	2198	2506	+	GNHMJG_003		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI00066A9D50, UniRef:UniRef90_UPI00066A9D50
contig_1	cds	2599	3282	+	GNHMJG_004		lytic transglycosylase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1V3IX29, UniRef:UniRef90_UPI00066B8F05
contig_1	cds	3307	3642	+	GNHMJG_005		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI00211A430C, UniRef:UniRef90_UPI00066D62BA
contig_1	cds	3698	4066	+	GNHMJG_006	virB3	VirB3 family type IV secretion system protein	RefSeq:WP_049365206.1, SO:0001217, UniParc:UPI00066C5F1B, UniRef:UniRef100_UPI00066C5F1B, UniRef:UniRef50_A0A1V3KKJ0, UniRef:UniRef90_UPI00066C5F1B
contig_1	cds	4038	6428	+	GNHMJG_007		TraB/VirB4-like protein	SO:0001217, UniRef:UniRef50_Q8VRD5
contig_1	cds	6450	7130	+	GNHMJG_008		type IV secretion system protein	KEGG:K03200, RefSeq:WP_049365208.1, SO:0001217, UniParc:UPI00066EC9E2, UniRef:UniRef100_UPI00066EC9E2, UniRef:UniRef50_A0A1T0AX86, UniRef:UniRef90_UPI00066EC9E2
contig_1	cds	7148	8176	+	GNHMJG_009		type IV secretion system protein	KEGG:K03201, RefSeq:WP_049365209.1, SO:0001217, UniParc:UPI00066ED448, UniRef:UniRef100_UPI00066ED448, UniRef:UniRef50_A0A1T0AXI0, UniRef:UniRef90_UPI00066ED448
contig_1	cds	8173	8337	+	GNHMJG_010		TraF-like protein	SO:0001217, UniRef:UniRef50_Q8VRD2, UniRef:UniRef90_UPI000A6B0C23
contig_1	cds	8337	9149	+	GNHMJG_011	virB8	virB8 family protein	KEGG:K03203, SO:0001217, UniRef:UniRef50_A0A9X4PC34, UniRef:UniRef90_UPI00066AADCE
contig_1	cds	9162	9935	+	GNHMJG_012		TrbG/VirB9 family P-type conjugative transfer protein	KEGG:K03204, SO:0001217, UniRef:UniRef50_Q8VRD0, UniRef:UniRef90_UPI00066DE8DD
contig_1	cds	9922	11088	+	GNHMJG_013		type IV secretion system protein VirB10	KEGG:K03195, SO:0001217, UniRef:UniRef50_A0A1V3IWQ2, UniRef:UniRef90_UPI0011D93DDB
contig_1	cds	11098	12126	+	GNHMJG_014	virB11	P-type DNA transfer ATPase VirB11	GO:0043684, GO:0044097, SO:0001217, UniRef:UniRef50_Q8VRC8, UniRef:UniRef90_UPI00066B2BD3
contig_1	cds	12134	13966	+	GNHMJG_015		type IV secretory system conjugative DNA transfer family protein	EC:7.4.2.8, KEGG:K03205, SO:0001217, UniRef:UniRef50_A0A1V3IW55, UniRef:UniRef90_UPI002119C727
contig_1	cds	13977	14639	+	GNHMJG_016		TrbM-like protein	SO:0001217, UniRef:UniRef50_A0A1T0AX12, UniRef:UniRef90_Q8VRC6
contig_1	cds	14649	14816	+	GNHMJG_017		hypothetical protein	RefSeq:WP_160300919.1, SO:0001217, UniParc:UPI000A437949, UniRef:UniRef100_UPI000A437949, UniRef:UniRef50_UPI000D4E1245, UniRef:UniRef90_UPI000A437949
contig_1	cds	14800	15225	+	GNHMJG_018		Single-stranded DNA-binding protein	SO:0001217, UniRef:UniRef50_Q8VRC5, UniRef:UniRef90_Q8VRC5
contig_1	cds	15277	17529	+	GNHMJG_019		DNA topoisomerase	EC:5.6.2.1, KEGG:K03169, SO:0001217, UniRef:UniRef50_Q8VRC4, UniRef:UniRef90_Q8VRC4
contig_1	cds	17565	18047	-	GNHMJG_020		AbiQ-like protein	KEGG:K19167, RefSeq:WP_275910298.1, SO:0001217, UniParc:UPI0023DD93A8, UniRef:UniRef100_UPI0023DD93A8, UniRef:UniRef50_E8KF34, UniRef:UniRef90_Q8VRC3
contig_1	cds	18234	21596	-	GNHMJG_021		Relaxase	SO:0001217, UniRef:UniRef50_A0A9X4PDX9, UniRef:UniRef90_Q8VRC2
contig_1	cds	21586	21933	-	GNHMJG_022		putative relaxosome component	RefSeq:WP_005638131.1, SO:0001217, UniParc:UPI00000BC9D2, UniRef:UniRef100_Q8VRC1, UniRef:UniRef50_Q8VRC1, UniRef:UniRef90_Q8VRC1
contig_1	cds	22325	22792	+	GNHMJG_023		hypothetical protein	RefSeq:WP_105892256.1, SO:0001217, UniParc:UPI000D01A4FC, UniRef:UniRef100_UPI000D01A4FC, UniRef:UniRef50_A0A9X4SJ54, UniRef:UniRef90_Q8VRC0
contig_1	cds	22795	23547	+	GNHMJG_024		TraL(RP4)-like protein	RefSeq:WP_049365219.1, SO:0001217, UniParc:UPI00066BE821, UniRef:UniRef100_UPI00066BE821, UniRef:UniRef50_M1EVA3, UniRef:UniRef90_Q8VRB9
contig_1	cds	23785	24519	+	GNHMJG_025		hypothetical protein	RefSeq:WP_275910294.1, SO:0001217, UniParc:UPI0023DD6FEC, UniRef:UniRef100_UPI0023DD6FEC, UniRef:UniRef50_Q8VRB8, UniRef:UniRef90_Q8VRB8
contig_1	cds	24522	24842	+	GNHMJG_026		hypothetical protein	RefSeq:WP_275910293.1, SO:0001217, UniParc:UPI0023DDE35B, UniRef:UniRef100_UPI0023DDE35B, UniRef:UniRef50_Q8VRB7, UniRef:UniRef90_Q8VRB7
