# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	10	717	+	CDDFIL_001	repA	Regulatory protein RepA	COG:COG3598, COG:L, GO:0005524, GO:0006276, RefSeq:WP_000880559.1, SO:0001217, UniParc:UPI00005051F7, UniRef:UniRef100_P20356, UniRef:UniRef50_P20356, UniRef:UniRef90_P20356
contig_1	cds	1129	1575	+	CDDFIL_002		hypothetical protein	
contig_1	cds	1863	2678	+	CDDFIL_003	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	COG:COG0294, COG:H, EC:2.5.1.15, KEGG:K18824, NCBIProtein:WP_001043265.1, RefSeq:WP_001043265.1, SO:0001217, UniParc:UPI00000D1397, UniRef:UniRef100_B7JCH4, UniRef:UniRef50_B3H353, UniRef:UniRef90_E3VLA2
contig_1	cds	2739	3542	+	CDDFIL_004	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	COG:COG3231, COG:J, EC:2.7.1.87, KEGG:K10673, NCBIProtein:WP_001082319.1, RefSeq:WP_001082319.1, SO:0001217, UniParc:UPI0000061CB6, UniRef:UniRef100_Q8GJ11, UniRef:UniRef50_Q8GJ11, UniRef:UniRef90_Q8GJ11
contig_1	cds	3542	4378	+	CDDFIL_005	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	COG:COG3570, COG:V, EC:2.7.1.72, KEGG:K04343, NCBIProtein:WP_000480968.1, RefSeq:WP_000480968.1, SO:0001217, UniParc:UPI0000061CB7, UniRef:UniRef100_Q7ATJ6, UniRef:UniRef50_C5IWK8, UniRef:UniRef90_C5IWK8
contig_1	cds	4544	4723	+	CDDFIL_006		hypothetical protein	RefSeq:WP_047922037.1, SO:0001217, UniParc:UPI00064CA87D, UniRef:UniRef100_A0A1B0WRK8, UniRef:UniRef50_A0A377IYW4, UniRef:UniRef90_A0A1B0WRK8
contig_1	cds	4768	5175	-	CDDFIL_007		C-type lysozyme inhibitor domain-containing protein	RefSeq:WP_005667853.1, SO:0001217, UniParc:UPI000039AD6F, UniRef:UniRef100_A0A377IYL7, UniRef:UniRef50_A0A1V3JSP2, UniRef:UniRef90_A0A377IYL7
contig_1	cds	5191	7191	-	CDDFIL_008		integrating conjugative element protein	RefSeq:WP_047922038.1, SO:0001217, UniParc:UPI00064C7365, UniRef:UniRef100_UPI00064C7365, UniRef:UniRef50_A0A1V3J6G1, UniRef:UniRef90_A0A377J0F0
contig_1	cds	7206	8147	-	CDDFIL_009		Exported protein	RefSeq:WP_005687598.1, SO:0001217, UniParc:UPI000039AD71, UniRef:UniRef100_A0A1B0WR00, UniRef:UniRef50_A7TUJ3, UniRef:UniRef90_A0A377IZ14
contig_1	cds	8144	8581	-	CDDFIL_010		Integrating conjugative element protein, PFL_4709 family	RefSeq:WP_005687600.1, SO:0001217, UniParc:UPI00004036CC, UniRef:UniRef100_A0A377IZF4, UniRef:UniRef50_A0A377IZF4, UniRef:UniRef90_A0A377IZF4
contig_1	cds	8962	9318	+	CDDFIL_011		hypothetical protein	RefSeq:WP_005653504.1, SO:0001217, UniParc:UPI00014FB48F, UniRef:UniRef100_A0A377J0Q1, UniRef:UniRef50_Q7VMQ4, UniRef:UniRef90_A0A377J0Q1
contig_1	cds	9403	9636	+	CDDFIL_012		Hemophilus-specific protein	RefSeq:WP_005653503.1, SO:0001217, UniParc:UPI000039AD74, UniRef:UniRef100_A0A377IYJ6, UniRef:UniRef50_A0A1V3IES7, UniRef:UniRef90_A0A377IYJ6
contig_1	cds	9639	9887	+	CDDFIL_013		hypothetical protein	RefSeq:WP_005687602.1, SO:0001217, UniParc:UPI000039AD75, UniRef:UniRef100_A0A377IYN8, UniRef:UniRef50_A0A377IYN8, UniRef:UniRef90_A0A377IYN8
contig_1	cds	9891	10049	+	CDDFIL_014		hypothetical protein	RefSeq:WP_005687605.1, SO:0001217, UniParc:UPI000053E025, UniRef:UniRef100_A0A377IYK2, UniRef:UniRef50_A0A377IYK2, UniRef:UniRef90_A0A377IYK2
contig_1	cds	10178	11083	+	CDDFIL_015		Antirestriction protein	RefSeq:WP_005687607.1, SO:0001217, UniParc:UPI00004036CD, UniRef:UniRef100_A0A9N8NAT9, UniRef:UniRef50_A0A377IYT5, UniRef:UniRef90_A0A377IYT5
contig_1	cds	11178	12038	-	CDDFIL_016	blaTEM-1	broad-spectrum class A beta-lactamase TEM-1	COG:COG2367, COG:V, EC:3.5.2.6, GO:0008800, GO:0030655, GO:0046677, KEGG:K18698, NCBIProtein:WP_000027057.1, RefSeq:WP_000027057.1, SO:0001217, UniParc:UPI00000000E4, UniRef:UniRef100_P62593, UniRef:UniRef50_P62593, UniRef:UniRef90_P62593
contig_1	cds	12221	12778	-	CDDFIL_017	tnpR	Transposon Tn1331 resolvase	COG:COG1961, COG:L, GO:0000150, GO:0003677, GO:0015074, KEGG:K14060, RefSeq:WP_001235713.1, SO:0001217, UniParc:UPI00001A3763, UniRef:UniRef100_D9Z4Z5, UniRef:UniRef50_P21424, UniRef:UniRef90_P21424
contig_1	cds	13077	13394	+	CDDFIL_018		Secreted protein	RefSeq:WP_012564948.1, SO:0001217, UniParc:UPI00004036CE, UniRef:UniRef100_A0A9N8NAP3, UniRef:UniRef50_A0A377J0C5, UniRef:UniRef90_A0A377J0C5
contig_1	cds	13562	13723	+	CDDFIL_019		hypothetical protein	SO:0001217, UniParc:UPI0004063636, UniRef:UniRef100_A0A5B8RM93, UniRef:UniRef50_A0A5B8RM93, UniRef:UniRef90_A0A5B8RM93
contig_1	cds	13684	14382	+	CDDFIL_020		DNA-binding protein	RefSeq:WP_012564949.1, SO:0001217, UniParc:UPI00004036CF, UniRef:UniRef100_Q6A250, UniRef:UniRef50_A0A5B8RM93, UniRef:UniRef90_A0A5B8RM93
contig_1	cds	14672	15376	-	CDDFIL_021		Phosphoribosyltransferase	RefSeq:WP_020910024.1, SO:0001217, UniParc:UPI0001F24112, UniRef:UniRef100_A0A5C6GYS7, UniRef:UniRef50_A0A377J0M8, UniRef:UniRef90_A0A377J0M8
contig_1	cds	15613	17520	+	CDDFIL_022	mobH	MobH family relaxase	KEGG:K12070, RefSeq:WP_012564951.1, SO:0001217, UniParc:UPI00004036D1, UniRef:UniRef100_Q6A248, UniRef:UniRef50_A7TUI7, UniRef:UniRef90_A4N4Q2
