# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1352	1714	+	FEFEPI_001		Bacterial mobilisation domain-containing protein	RefSeq:WP_120652480.1, SO:0001217, UniParc:UPI000EA99656, UniRef:UniRef100_UPI000EA99656, UniRef:UniRef50_Q9LAL3, UniRef:UniRef90_Q9LAL3
contig_1	cds	1711	3948	+	FEFEPI_002		Mobilization protein	RefSeq:WP_120652477.1, SO:0001217, UniParc:UPI000EA88902, UniRef:UniRef100_UPI000EA88902, UniRef:UniRef50_Q9LAL4, UniRef:UniRef90_Q9LAL4
contig_1	cds	4099	4731	+	FEFEPI_003		HEPN domain-containing protein	RefSeq:WP_120652474.1, SO:0001217, UniParc:UPI000EA94C67, UniRef:UniRef100_UPI000EA94C67, UniRef:UniRef50_UPI000EA94C67, UniRef:UniRef90_UPI000EA94C67
contig_1	cds	4742	5056	+	FEFEPI_004		hypothetical protein	
contig_1	cds	5168	5392	-	FEFEPI_005		Immunity factor	RefSeq:WP_003668863.1, SO:0001217, UniParc:UPI000175490A, UniRef:UniRef100_B3CJ47, UniRef:UniRef50_B3CJ47, UniRef:UniRef90_B3CJ47
contig_1	cds	5386	5691	-	FEFEPI_006		Bacteriocin	RefSeq:WP_003668865.1, SO:0001217, UniParc:UPI0001914AF3, UniRef:UniRef100_B3CJ46, UniRef:UniRef50_B3CJ46, UniRef:UniRef90_B3CJ46
contig_1	cds	5796	7880	-	FEFEPI_007		Peptidase domain-containing ABC transporter	RefSeq:WP_012514677.1, SO:0001217, UniParc:UPI0001754908, UniRef:UniRef100_Q9LAL5, UniRef:UniRef50_E3HUG6, UniRef:UniRef90_Q9LAL5
contig_1	cds	7951	9213	-	FEFEPI_008	mcbA	McbA	KEGG:K13408, RefSeq:WP_012514676.1, SO:0001217, UniParc:UPI0001754907, UniRef:UniRef100_A0A1E9VTH9, UniRef:UniRef50_C0J419, UniRef:UniRef90_C0J419
contig_1	cds	9220	9321	-	FEFEPI_009		hypothetical protein	
contig_1	cds	9337	9504	-	FEFEPI_010		hypothetical protein	
contig_1	cds	9523	10605	-	FEFEPI_011	jmjC	JmjC domain-containing protein	RefSeq:WP_204321251.1, SO:0001217, UniParc:UPI001953EF05, UniRef:UniRef100_UPI001953EF05, UniRef:UniRef50_A0A1E9VSN5, UniRef:UniRef90_UPI001953EF05
contig_1	cds	10953	11588	+	FEFEPI_012		Abortive infection bacteriophage resistance protein	RefSeq:WP_120652484.1, SO:0001217, UniParc:UPI000EA9E65F, UniRef:UniRef100_UPI000EA9E65F, UniRef:UniRef50_L2F4N9, UniRef:UniRef90_A0A1T0A4J2
contig_1	cds	11575	12066	-	FEFEPI_013		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0002029CDB
