Taxon,Cluster
47195_1#206_fa,1
47195_1#127_fa,1
47195_1#281_fa,1
47195_1#141_fa,1
46736_1#94_fa,1
46872_1#167_fa,1
47195_1#331_fa,1
47195_1#136_fa,1
46736_1#214_fa,1
47195_1#241_fa,1
47195_1#195_fa,1
46736_1#185_fa,1
47195_1#193_fa,1
47195_1#39_fa,1
47195_1#72_fa,1
47195_1#161_fa,1
46872_1#79_fa,1
47195_1#74_fa,1
47195_1#53_fa,1
47195_1#276_fa,1
47195_1#48_fa,1
47195_1#9_fa,1
47195_1#256_fa,1
47195_1#111_fa,1
47195_1#306_fa,1
47195_1#69_fa,1
47195_1#333_fa,1
47195_1#238_fa,1
47195_1#34_fa,1
47195_1#103_fa,2
47195_1#171_fa,2
46736_1#306_fa,2
46872_1#171_fa,2
47195_1#326_fa,2
47195_1#35_fa,2
46736_1#301_fa,2
47195_1#235_fa,2
47195_1#45_fa,2
46872_1#129_fa,2
47195_1#324_fa,2
47195_1#81_fa,2
46736_1#122_fa,2
47195_1#67_fa,2
46736_1#180_fa,2
47195_1#89_fa,2
46736_1#267_fa,2
46872_1#75_fa,2
46736_1#249_fa,2
46736_1#179_fa,2
47195_1#312_fa,2
47195_1#309_fa,2
47195_1#80_fa,2
46736_1#62_fa,2
46736_1#299_fa,2
47195_1#8_fa,2
47195_1#91_fa,2
47195_1#93_fa,2
47195_1#137_fa,2
SAMEA4620449_fa,3
SAMEA4621614_fa,3
SAMEA5130797_fa,3
SAMEA4622481_fa,3
SAMEA5130815_fa,3
SAMEA4621132_fa,3
SAMEA4621662_fa,3
SAMEA4620576_fa,3
SAMEA4620326_fa,3
SAMEA4621915_fa,3
SAMEA4620792_fa,3
SAMEA4621124_fa,3
SAMEA4621113_fa,3
SAMEA4621591_fa,3
SAMEA4620535_fa,3
SAMEA4620543_fa,3
SAMEA5130745_fa,3
SAMEA4622744_fa,3
SAMEA4620503_fa,3
SAMEA4620847_fa,4
SAMEA4621443_fa,4
SAMEA4620354_fa,4
SAMEA4620477_fa,4
SAMEA4622664_fa,4
SAMEA4620345_fa,4
SAMEA4622084_fa,4
SAMEA4620911_fa,4
SAMEA4621104_fa,4
SAMEA4620880_fa,4
SAMEA4621732_fa,4
SAMEA4621280_fa,4
SAMEA4621595_fa,4
SAMEA4620388_fa,4
SAMEA4620719_fa,4
SAMEA4620407_fa,4
SAMEA4621697_fa,4
SAMEA4621819_fa,4
46872_1#197_fa,5
46736_1#213_fa,5
46872_1#7_fa,5
46736_1#50_fa,5
46872_1#9_fa,5
47195_1#181_fa,5
47195_1#221_fa,5
46736_1#283_fa,5
47195_1#303_fa,5
47195_1#15_fa,5
46736_1#221_fa,5
46736_1#323_fa,5
47195_1#187_fa,5
47195_1#189_fa,5
47195_1#327_fa,5
46736_1#146_fa,5
46736_1#149_fa,5
SAMEA4620562_fa,6
SAMEA4620860_fa,6
SAMEA4620801_fa,6
SAMEA5130782_fa,6
SAMEA4620534_fa,6
SAMEA4620475_fa,6
SAMEA4620678_fa,6
SAMEA4621907_fa,6
SAMEA4620519_fa,6
SAMEA4622114_fa,6
SAMEA4623010_fa,6
SAMEA4620669_fa,6
SAMEA4621330_fa,6
SAMEA4620802_fa,6
SAMEA4620531_fa,6
SAMEA4620283_fa,7
SAMEA4620849_fa,7
SAMEA4621905_fa,7
SAMEA4621013_fa,7
SAMEA4622505_fa,7
SAMEA4620360_fa,7
SAMEA4621770_fa,7
SAMEA4622377_fa,7
SAMEA5130840_fa,7
SAMEA4620584_fa,7
SAMEA4620592_fa,7
SAMEA4620408_fa,7
SAMEA4621212_fa,7
SAMEA4621420_fa,7
SAMEA4621207_fa,7
SAMEA4621059_fa,8
SAMEA4622008_fa,8
SAMEA4620795_fa,8
SAMEA4622291_fa,8
SAMEA4621917_fa,8
SAMEA4620452_fa,8
SAMEA4620544_fa,8
SAMEA4620507_fa,8
SAMEA4621980_fa,8
SAMEA4622078_fa,8
47195_1#101_fa,9
47195_1#75_fa,9
47195_1#41_fa,9
46736_1#153_fa,9
47195_1#129_fa,9
47195_1#219_fa,9
46736_1#88_fa,9
SAMEA4621334_fa,10
SAMEA4621552_fa,10
SAMEA4621126_fa,10
SAMEA4622462_fa,10
SAMEA4621711_fa,10
SAMEA5130765_fa,10
SAMEA4620989_fa,11
SAMEA4622647_fa,11
SAMEA4622136_fa,11
SAMEA4622560_fa,11
SAMEA4622658_fa,11
SAMEA4621211_fa,11
47195_1#287_fa,12
46736_1#284_fa,12
47195_1#198_fa,12
47195_1#176_fa,12
47195_1#283_fa,12
47195_1#228_fa,12
SAMEA5130811_fa,13
SAMEA4622460_fa,13
SAMEA4621409_fa,13
SAMEA4622146_fa,13
SAMEA5130750_fa,13
46736_1#354_fa,14
46736_1#115_fa,14
46872_1#77_fa,14
47195_1#115_fa,14
46736_1#291_fa,14
SAMEA4621323_fa,15
SAMEA4621386_fa,15
SAMEA5130825_fa,15
SAMEA4622459_fa,15
SAMEA4620729_fa,16
SAMEA4622372_fa,16
SAMEA4620335_fa,16
SAMEA4621892_fa,16
SAMEA4621913_fa,17
SAMEA4622364_fa,17
SAMEA4620332_fa,17
SAMEA4620381_fa,17
46872_1#175_fa,18
46736_1#26_fa,18
46736_1#304_fa,18
46872_1#165_fa,18
SAMEA4622740_fa,19
SAMEA4622663_fa,19
SAMEA4622292_fa,19
SAMEA4621904_fa,20
SAMEA4621722_fa,20
SAMEA4621385_fa,20
SAMEA4620935_fa,21
SAMEA4620538_fa,21
SAMEA4621362_fa,21
SAMEA4620490_fa,22
SAMEA4620506_fa,22
SAMEA4621276_fa,22
SAMEA4622622_fa,23
SAMEA4620722_fa,23
SAMEA4620464_fa,23
SAMEA4620454_fa,24
SAMEA4622028_fa,24
SAMEA5130752_fa,24
SAMEA4620933_fa,25
SAMEA4620429_fa,25
SAMEA4620931_fa,25
SAMEA4620367_fa,26
SAMEA4620457_fa,26
SAMEA4620404_fa,26
SAMEA4622908_fa,27
SAMEA4620375_fa,27
SAMEA4620350_fa,27
46736_1#22_fa,28
46736_1#89_fa,28
46736_1#160_fa,28
46321_2#192_fa,29
46321_2#277_fa,29
46321_2#6_fa,29
46472_2#209_fa,30
46321_1#356_fa,30
46358_2#350_fa,30
46472_2#117_fa,31
46358_2#338_fa,31
46321_1#187_fa,31
SAMEA4622717_fa,32
SAMEA5130801_fa,32
SAMEA4622164_fa,33
SAMEA4622987_fa,33
SAMEA4622826_fa,34
SAMEA4621825_fa,34
SAMEA4621533_fa,35
SAMEA4622173_fa,35
SAMEA5130743_fa,36
SAMEA4621283_fa,36
SAMEA4621272_fa,37
SAMEA5130741_fa,37
SAMEA4620920_fa,38
SAMEA5130769_fa,38
SAMEA5130831_fa,39
SAMEA4620469_fa,39
SAMEA4620476_fa,40
SAMEA4620412_fa,40
SAMEA4620398_fa,41
SAMEA4620368_fa,41
47195_1#338_fa,42
47195_1#131_fa,42
46736_1#53_fa,43
47195_1#135_fa,43
46736_1#345_fa,44
46872_1#73_fa,44
47195_1#226_fa,45
46736_1#147_fa,45
46736_1#124_fa,46
47195_1#313_fa,46
46472_2#191_fa,47
46472_2#153_fa,47
46472_2#127_fa,48
46472_2#255_fa,48
46358_2#355_fa,49
46358_2#292_fa,49
46358_2#257_fa,50
46472_2#214_fa,50
46321_2#81_fa,51
46321_2#225_fa,51
46472_2#341_fa,52
46321_1#62_fa,52
SAMEA5130757_fa,53
SAMEA4622865_fa,54
SAMEA4622468_fa,55
SAMEA4622368_fa,56
SAMEA4622047_fa,57
SAMEA4622034_fa,58
SAMEA4621942_fa,59
SAMEA4621715_fa,60
SAMEA4621703_fa,61
SAMEA4621689_fa,62
SAMEA4621598_fa,63
SAMEA4621592_fa,64
SAMEA4621556_fa,65
SAMEA4621537_fa,66
SAMEA4621472_fa,67
SAMEA4621361_fa,68
SAMEA4621277_fa,69
SAMEA4621216_fa,70
SAMEA4621194_fa,71
SAMEA4621133_fa,72
SAMEA4621003_fa,73
SAMEA4620728_fa,74
SAMEA4620593_fa,75
SAMEA4620590_fa,76
SAMEA4620400_fa,77
47195_1#85_fa,78
47195_1#79_fa,79
47195_1#5_fa,80
47195_1#330_fa,81
47195_1#315_fa,82
47195_1#205_fa,83
47195_1#179_fa,84
47195_1#109_fa,85
46736_1#90_fa,86
46736_1#355_fa,87
46736_1#352_fa,88
46736_1#287_fa,89
46736_1#253_fa,90
46472_2#312_fa,91
46472_2#277_fa,92
46472_2#192_fa,93
46472_2#157_fa,94
46472_2#147_fa,95
46472_2#125_fa,96
46472_2#113_fa,97
46358_2#39_fa,98
46358_2#316_fa,99
46358_2#306_fa,100
46358_2#280_fa,101
46358_2#271_fa,102
46358_2#250_fa,103
46358_2#246_fa,104
46358_2#212_fa,105
46358_2#168_fa,106
46321_2#78_fa,107
46321_2#45_fa,108
46321_2#347_fa,109
46321_2#330_fa,110
46321_2#325_fa,111
46321_2#2_fa,112
46321_2#252_fa,113
46321_1#89_fa,114
46321_1#84_fa,115
46321_1#54_fa,116
46321_1#377_fa,117
46321_1#366_fa,118
46321_1#347_fa,119
46321_1#322_fa,120
46321_1#31_fa,121
46321_1#302_fa,122
46321_1#294_fa,123
46321_1#243_fa,124
46321_1#183_fa,125
46321_1#149_fa,126
