# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	120	398	-	NOKICF_001		hypothetical protein	
contig_1	cds	415	750	+	NOKICF_002		hypothetical protein	
contig_1	cds	750	1862	+	NOKICF_003		F pilus assembly Type-IV secretion system for plasmid transfer	SO:0001217, UniRef:UniRef50_A0A378QE76, UniRef:UniRef90_UPI00128CCBD7
contig_1	cds	1837	4446	+	NOKICF_004	traC	type IV secretion system protein TraC	KEGG:K12063, RefSeq:WP_120649634.1, SO:0001217, UniParc:UPI000EA9632C, UniRef:UniRef100_UPI000EA9632C, UniRef:UniRef50_A0A378QCP4, UniRef:UniRef90_UPI00128B2DD6
contig_1	cds	4446	4928	+	NOKICF_005	trbI	Type-F conjugative transfer system protein TrbI	RefSeq:WP_120649633.1, SO:0001217, UniParc:UPI000EA8DB72, UniRef:UniRef100_UPI000EA8DB72, UniRef:UniRef50_A0A378QCE1, UniRef:UniRef90_UPI00128D3469
contig_1	cds	5044	5478	+	NOKICF_006		Signal peptidase I	SO:0001217, UniRef:UniRef50_A0A378QCE3
contig_1	cds	5468	6112	+	NOKICF_007	traW	type-F conjugative transfer system protein TraW	KEGG:K12061, RefSeq:WP_120649631.1, SO:0001217, UniParc:UPI000EA87727, UniRef:UniRef100_UPI000EA87727, UniRef:UniRef50_A0A378QCU5, UniRef:UniRef90_UPI000EA87727
contig_1	cds	6109	7116	+	NOKICF_008	traU	conjugal transfer pilus assembly protein TraU	KEGG:K12060, RefSeq:WP_152704727.1, SO:0001217, UniParc:UPI00128DA93C, UniRef:UniRef100_UPI00128DA93C, UniRef:UniRef50_A0A6L4YKZ3, UniRef:UniRef90_A0A378QCD7
contig_1	cds	7125	7832	+	NOKICF_009	trbC	type-F conjugative transfer system pilin assembly protein TrbC	RefSeq:WP_081570091.1, SO:0001217, UniParc:UPI0009D9FE27, UniRef:UniRef100_UPI0009D9FE27, UniRef:UniRef50_A0A378QDL0, UniRef:UniRef90_UPI0009D9FE27
contig_1	cds	7835	9985	+	NOKICF_010	traN	conjugal transfer protein TraN	KEGG:K12058, RefSeq:WP_152704728.1, SO:0001217, UniParc:UPI00128C07AD, UniRef:UniRef100_UPI00128C07AD, UniRef:UniRef50_A0A378QCZ7, UniRef:UniRef90_UPI00128C84E7
contig_1	cds	9975	10856	+	NOKICF_011	traF	conjugal transfer protein TraF	KEGG:K12057, SO:0001217, UniRef:UniRef50_A0A378QDG9, UniRef:UniRef90_UPI00128C7662
contig_1	cds	10867	11196	+	NOKICF_012		hypothetical protein	RefSeq:WP_081570089.1, SO:0001217, UniParc:UPI0009C2F8A6, UniRef:UniRef100_UPI0009C2F8A6, UniRef:UniRef50_UPI00128D3BBC, UniRef:UniRef90_UPI00128D3BBC
contig_1	cds	11196	12599	+	NOKICF_013	traH	conjugal transfer protein TraH	KEGG:K12072, SO:0001217, UniRef:UniRef50_A0A378QE85, UniRef:UniRef90_UPI0009C1FF39
contig_1	cds	12994	13314	-	NOKICF_014		hypothetical protein	
contig_1	cds	13387	13641	-	NOKICF_015		hypothetical protein	
contig_1	cds	14095	14484	-	NOKICF_016		hypothetical protein	
contig_1	cds	14762	15448	+	NOKICF_017		hypothetical protein	
contig_1	cds	15535	15957	+	NOKICF_018		lytic transglycosylase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A378QCF0, UniRef:UniRef90_UPI00128E483B
contig_1	cds	15992	16243	-	NOKICF_019		hypothetical protein	RefSeq:WP_081570085.1, SO:0001217, UniParc:UPI0009C28A85, UniRef:UniRef100_UPI0009C28A85, UniRef:UniRef50_UPI00128C6FD8, UniRef:UniRef90_UPI0009C28A85
contig_1	cds	16352	16873	+	NOKICF_020		hypothetical protein	RefSeq:WP_081570084.1, SO:0001217, UniParc:UPI0009C23ACE, UniRef:UniRef100_UPI0009C23ACE, UniRef:UniRef50_A0A198UN78, UniRef:UniRef90_UPI000EA8FB37
