# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	407	751	-	GGIPNH_001		H-NS family nucleoid-associated regulatory protein	RefSeq:WP_120649648.1, SO:0001217, UniParc:UPI0009C3DC03, UniRef:UniRef100_UPI001C7CA6F8, UniRef:UniRef50_A0A378QCX2, UniRef:UniRef90_UPI001C7CA6F8
contig_1	cds	907	1341	+	GGIPNH_002		hypothetical protein	RefSeq:WP_081570110.1, SO:0001217, UniParc:UPI0009C29977, UniRef:UniRef100_UPI000EBC2E6A, UniRef:UniRef50_A0A378QCX9, UniRef:UniRef90_UPI000EBC2E6A
contig_1	cds	1498	1827	+	GGIPNH_003		hypothetical protein	RefSeq:WP_081570109.1, SO:0001217, UniParc:UPI0009C1D894, UniRef:UniRef100_UPI0009C1D894, UniRef:UniRef50_A0A378QDE7, UniRef:UniRef90_UPI0009C1D894
contig_1	cds	1824	2564	+	GGIPNH_004		Sporulation initiation inhibitor protein soj	KEGG:K03496, RefSeq:WP_227547678.1, SO:0001217, UniParc:UPI001D0D89AC, UniRef:UniRef100_UPI001D0D89AC, UniRef:UniRef50_A0A2D2LWZ7, UniRef:UniRef90_A0A378QGW7
contig_1	cds	2577	3500	+	GGIPNH_005		ParB/RepB/Spo0J family partition protein	KEGG:K03497, RefSeq:WP_081570107.1, SO:0001217, UniParc:UPI0009C2985D, UniRef:UniRef100_UPI0009C2985D, UniRef:UniRef50_UPI00128CB457, UniRef:UniRef90_UPI0009C2985D
contig_1	cds	3719	4342	+	GGIPNH_006		lytic transglycosylase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A378QCN4, UniRef:UniRef90_UPI00128BEF2B
contig_1	cds	4618	4977	+	GGIPNH_007		TrbC/VirB2 family protein	KEGG:K12069, RefSeq:WP_152724792.1, SO:0001217, UniParc:UPI00128D6C83, UniRef:UniRef100_UPI00128D6C83, UniRef:UniRef50_A0A378QCC9, UniRef:UniRef90_UPI00128DB8AB
contig_1	cds	5018	5308	+	GGIPNH_008	traL	type IV conjugative transfer system protein TraL	KEGG:K12068, RefSeq:WP_081570104.1, SO:0001217, UniParc:UPI0009C3DD54, UniRef:UniRef100_UPI0009C3DD54, UniRef:UniRef50_A0A378QCD5, UniRef:UniRef90_A0A378QCD5
contig_1	cds	5313	5903	+	GGIPNH_009		TraE/TraK family type IV conjugative transfer system protein	KEGG:K12067, RefSeq:WP_120649639.1, SO:0001217, UniParc:UPI000EA9BDD9, UniRef:UniRef100_UPI000EA9BDD9, UniRef:UniRef50_A0A378QCT6, UniRef:UniRef90_UPI000EA9BDD9
contig_1	cds	5842	6570	+	GGIPNH_010	traK	type-F conjugative transfer system secretin TraK	KEGG:K12066, RefSeq:WP_120649638.1, SO:0001217, UniParc:UPI000EAA46E4, UniRef:UniRef100_UPI000EAA46E4, UniRef:UniRef50_A0A378QCC4, UniRef:UniRef90_UPI000EAA46E4
