Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# Ns per 100 kbp
SAMEA4622221.assembly	18	11	8	6	6	6	1910620	1909175	1897918	1884385	1884385	1884385	11	725065	1909175	41.44	466424	347849	2	3	0.00
SAMEA4621752.assembly	31	15	7	6	6	5	1914443	1908588	1892984	1887251	1887251	1847427	20	682725	1912081	41.62	454356	352634	2	3	0.00
SAMEA4622293.assembly	11	8	8	7	7	6	1826941	1825990	1825990	1820257	1820257	1794600	9	863209	1826554	41.70	347216	227773	2	3	0.00
SAMEA4622231.assembly	39	21	11	10	9	8	1892140	1886760	1860830	1855195	1830761	1795169	23	438956	1888432	41.51	347391	229026	3	4	0.00
SAMEA4622161.assembly	52	24	13	7	7	7	1949691	1939414	1911279	1872716	1872716	1872716	32	471623	1944447	41.44	357813	231593	3	4	0.00
SAMEA4620476.assembly	85	30	15	13	10	8	1973341	1955357	1921532	1907180	1861511	1787059	43	401159	1964363	41.46	244894	170886	4	6	0.00
SAMEA4622139.assembly	12	10	8	7	6	6	1825887	1825364	1822864	1817131	1800735	1800735	10	1115660	1825364	41.69	1115660	215001	1	3	0.00
SAMEA4620552.assembly	20	15	11	8	8	8	1949008	1947833	1936157	1917551	1917551	1917551	15	467057	1947833	41.46	320341	190521	3	5	0.00
SAMEA4622412.assembly	19	14	6	5	5	5	1865547	1863538	1844646	1838925	1838925	1838925	15	674344	1864102	41.68	461153	348892	2	3	0.00
SAMEA4622138.assembly	26	21	10	9	9	7	1862856	1860837	1836740	1831019	1831019	1763272	22	673370	1861401	41.69	430405	219532	2	4	0.00
SAMEA4620515.assembly	32	17	12	10	8	8	1875052	1870657	1856323	1845166	1810244	1810244	19	431256	1871919	41.53	347411	229296	3	5	0.00
SAMEA4620524.assembly	12	10	6	5	5	5	1838467	1838048	1825302	1819569	1819569	1819569	10	644401	1838048	41.67	469045	348622	2	3	0.00
SAMEA4620523.assembly	32	16	8	7	6	6	1927147	1920699	1901515	1895782	1879088	1879088	20	715147	1923988	41.46	404246	348125	2	3	0.00
SAMEA4622277.assembly	32	18	10	7	7	7	1842804	1837668	1816527	1793999	1793999	1793999	21	463635	1839823	41.56	243509	209857	3	5	0.00
SAMEA4620477.assembly	25	19	9	8	8	6	1974712	1972711	1949171	1943802	1943802	1859601	20	611188	1973338	41.44	445369	222937	2	4	0.00
SAMEA4620519.assembly	21	17	11	9	9	6	1973584	1971107	1960349	1946684	1946684	1843795	20	779288	1973302	41.37	326818	219962	2	4	0.00
SAMEA4621271.assembly	25	17	11	9	8	7	1875916	1873820	1856006	1845147	1820670	1792765	17	452590	1873820	41.64	354291	230442	3	4	0.00
SAMEA4621374.assembly	20	14	6	5	5	5	1835197	1833001	1808998	1803265	1803265	1803265	16	649839	1834509	41.65	462054	347139	2	3	0.00
SAMEA4622379.assembly	36	21	12	10	8	8	1901122	1894886	1873728	1861370	1834692	1834692	25	640143	1897796	41.50	396544	228101	2	4	0.00
SAMEA4623159.assembly	33	18	13	11	9	9	1897712	1893010	1878581	1866156	1829584	1829584	22	441155	1895353	41.62	228741	167352	3	6	0.00
SAMEA4621730.assembly	22	16	11	10	9	9	1836951	1835445	1820315	1814582	1798196	1798196	17	468895	1836009	41.68	227718	158387	3	5	0.00
SAMEA4620551.assembly	31	15	9	7	7	7	1884813	1877537	1862997	1847613	1847613	1847613	21	459639	1882207	41.61	309210	209331	3	5	0.00
SAMEA4622266.assembly	20	15	11	10	9	8	1841070	1840120	1826006	1820273	1796224	1768730	15	425363	1840120	41.63	284727	167317	3	5	0.00
SAMEA4620560.assembly	35	18	13	12	11	9	2001804	1995582	1985160	1979427	1963033	1874884	23	475228	1999189	41.39	219062	182350	3	5	0.00
SAMEA4620555.assembly	34	17	12	10	9	9	1841843	1836703	1821271	1808522	1783809	1783809	19	414013	1838252	41.61	347152	135835	3	5	0.00
SAMEA4620549.assembly	32	18	10	9	9	7	1955616	1950780	1927587	1921884	1921884	1865517	21	488121	1953168	41.38	348192	231571	3	4	0.00
SAMEA4620510.assembly	46	18	7	6	6	6	1885915	1876077	1848290	1842789	1842789	1842789	25	652476	1880470	41.53	469064	358028	2	3	0.00
SAMEA4621297.assembly	18	10	9	8	8	8	1912081	1909538	1908264	1902531	1902531	1902531	12	487153	1910936	41.47	228077	209753	3	5	0.00
SAMEA4621366.assembly	12	11	8	7	7	7	1911444	1911163	1901140	1895407	1895407	1895407	11	656625	1911163	41.44	466758	347849	2	3	0.00
SAMEA4621420.assembly	61	25	15	12	11	7	1967492	1955455	1935423	1915877	1891180	1728983	34	623870	1961639	41.52	261266	157916	3	5	0.00
SAMEA4620588.assembly	20	14	6	5	5	5	1868556	1867197	1847318	1841597	1841597	1841597	15	674791	1867761	41.66	463089	348807	2	3	0.00
SAMEA4621439.assembly	23	12	9	7	7	7	1867176	1862734	1853152	1840477	1840477	1840477	16	457938	1865043	41.67	331274	176275	3	5	0.00
SAMEA4620499.assembly	28	16	8	7	6	6	1880980	1877309	1859208	1853474	1840510	1840510	18	678403	1878691	41.59	457653	348197	2	3	0.00
SAMEA4621386.assembly	26	18	14	12	10	8	2000024	1996203	1988254	1975287	1944202	1863310	20	489638	1998057	41.54	308191	183263	3	5	0.00
SAMEA4620526.assembly	27	15	9	8	7	6	1957049	1953471	1934699	1928996	1904441	1869811	17	488142	1954928	41.38	348207	231571	3	4	0.00
SAMEA4621358.assembly	37	15	9	6	6	6	1840282	1835801	1820102	1801093	1801093	1801093	15	639755	1835801	41.67	466015	348367	2	3	0.00
SAMEA4620652.assembly	29	17	11	10	9	8	1930289	1925252	1908495	1902761	1886328	1846451	21	455513	1928183	41.53	276661	196157	3	5	0.00
SAMEA4621310.assembly	26	17	9	7	7	6	1944448	1941975	1923109	1909161	1909161	1863580	18	710776	1942478	41.40	456381	347868	2	3	0.00
SAMEA4620578.assembly	44	18	10	7	6	6	1893569	1882534	1864293	1846495	1829963	1829963	30	655452	1890347	41.46	471813	229986	2	4	0.00
SAMEA4620533.assembly	22	12	8	7	7	7	1899460	1895964	1884076	1878343	1878343	1878343	14	465425	1897356	41.58	331432	206363	3	5	0.00
SAMEA4621380.assembly	13	8	7	6	6	5	1849296	1848512	1845639	1839906	1839906	1814713	8	1114489	1848512	41.63	1114489	347040	1	2	0.00
SAMEA4620562.assembly	26	18	12	11	9	6	1973283	1969160	1956312	1948077	1908006	1803242	22	421007	1972113	41.37	335441	219962	3	5	0.00
SAMEA4621333.assembly	44	19	11	9	8	7	1961384	1952025	1931383	1917861	1901434	1861610	27	696050	1957420	41.53	472391	169249	2	4	0.00
SAMEA4620571.assembly	30	16	10	8	8	8	1913848	1908752	1891840	1878072	1878072	1878072	18	455696	1910186	41.48	243633	210009	3	5	0.00
SAMEA4620568.assembly	20	14	8	7	6	6	1905441	1903552	1888613	1882881	1871699	1871699	15	692263	1904196	41.59	402124	356293	2	3	0.00
SAMEA4621753.assembly	44	24	16	13	9	9	1926635	1919345	1902941	1879003	1825374	1825374	30	459677	1923347	41.60	273173	166040	3	6	0.00
SAMEA4621404.assembly	29	15	10	9	9	6	1978107	1972660	1962898	1957165	1957165	1847636	19	451608	1975791	41.40	346372	231322	3	5	0.00
SAMEA4621318.assembly	47	20	12	8	7	7	1892617	1881350	1863110	1837498	1820966	1820966	32	655452	1889162	41.46	471809	169657	2	4	0.00
SAMEA4620592.assembly	55	22	13	11	10	7	1932403	1920755	1904414	1890336	1865627	1752780	31	398774	1926960	41.47	261274	217057	3	5	0.00
SAMEA4620913.assembly	56	23	13	10	10	8	1948888	1939579	1915717	1894829	1894829	1833750	28	444637	1942791	41.49	348593	172201	3	5	0.00
SAMEA4620535.assembly	42	23	15	14	12	9	2105193	2095670	2076776	2070081	2026287	1912690	35	546099	2103766	41.28	284580	231616	3	5	0.00
SAMEA4620472.assembly	12	10	6	5	5	5	1843176	1842675	1829067	1823333	1823333	1823333	10	655914	1842675	41.66	461805	347930	2	3	0.00
SAMEA4621307.assembly	31	15	8	5	5	5	1900778	1893931	1879128	1861671	1861671	1861671	20	686523	1897722	41.61	473159	356407	2	3	0.00
SAMEA4621434.assembly	28	17	13	12	11	10	1890379	1887084	1877543	1871809	1857392	1821722	18	392686	1887835	41.50	227625	167578	3	6	0.00
SAMEA4621342.assembly	38	14	9	7	7	7	1928112	1920247	1906480	1893134	1893134	1893134	17	462911	1922856	41.48	346376	213008	3	4	0.00
SAMEA4620522.assembly	21	11	6	5	5	5	1864452	1860387	1848071	1842338	1842338	1842338	14	682571	1862630	41.68	455591	346501	2	3	0.00
SAMEA4621316.assembly	28	15	12	10	8	8	1926537	1922807	1913624	1898510	1872292	1872292	18	459502	1924699	41.60	346183	195612	3	4	0.00
SAMEA4621280.assembly	28	18	10	9	9	7	1967825	1962477	1941570	1936141	1936141	1851869	23	611362	1966493	41.42	256227	180088	3	5	0.00
SAMEA4621387.assembly	25	13	7	6	5	5	1905697	1902471	1888465	1882733	1870311	1870311	15	688891	1903628	41.59	478535	356285	2	3	0.00
SAMEA4620554.assembly	34	19	13	11	9	9	1913896	1908194	1891284	1877517	1855078	1855078	22	347677	1910140	41.49	213948	188059	4	6	0.00
SAMEA4620464.assembly	44	23	12	8	8	6	2033756	2024139	1999187	1974887	1974887	1879448	32	640586	2030682	41.42	375325	228889	2	4	0.00
SAMEA4620595.assembly	14	12	9	8	8	8	1895899	1895345	1885338	1879605	1879605	1879605	12	645159	1895345	41.46	461336	221332	2	4	0.00
SAMEA4621396.assembly	25	16	7	6	5	5	1867882	1865901	1841355	1835634	1811136	1811136	17	671165	1866465	41.68	436634	348860	2	3	0.00
SAMEA4621277.assembly	31	17	12	8	8	6	2073461	2065904	2052555	2024424	2024424	1932318	25	498729	2072344	41.59	358814	294371	3	4	0.00
SAMEA4621276.assembly	47	18	12	9	8	6	1983661	1973167	1955038	1935024	1912656	1822585	25	431784	1978035	41.40	352843	235527	3	5	0.00
SAMEA4620655.assembly	16	11	7	6	6	6	1873589	1872524	1859837	1854307	1854307	1854307	11	682990	1872524	41.67	409888	352958	2	3	0.00
SAMEA4621423.assembly	45	19	9	7	6	6	1893573	1882537	1859183	1846501	1829969	1829969	31	655452	1890350	41.46	471819	229986	2	4	0.00
SAMEA4621317.assembly	42	15	8	5	5	5	1894035	1883722	1866361	1847931	1847931	1847931	24	655415	1890029	41.47	471754	357660	2	3	0.00
SAMEA4621335.assembly	43	17	13	12	9	8	1916375	1906931	1890520	1884990	1839925	1796067	24	410371	1911806	41.66	277795	173348	3	5	0.00
SAMEA4621323.assembly	27	19	12	10	8	6	2027653	2024570	2011540	1998537	1967449	1890612	20	555808	2025440	41.28	494568	215161	2	4	0.00
SAMEA4621384.assembly	28	19	9	8	6	6	1885094	1882915	1863753	1858021	1823197	1823197	19	679732	1882915	41.62	434806	353005	2	3	0.00
SAMEA4620593.assembly	39	18	10	8	7	5	1982288	1974097	1953197	1940072	1917578	1827631	23	782290	1978050	41.37	354368	224945	2	4	0.00
SAMEA4621430.assembly	36	23	14	12	12	9	1986684	1982361	1964023	1949660	1949660	1857856	26	460814	1984412	41.43	240010	158384	3	6	0.00
SAMEA4621321.assembly	34	18	11	9	8	8	1911144	1904104	1888244	1877049	1852553	1852553	24	478738	1908822	41.48	347809	227879	3	4	0.00
SAMEA4621433.assembly	10	9	6	5	5	5	1838442	1838161	1827899	1822166	1822166	1822166	9	660695	1838161	41.63	466259	347220	2	3	0.00
SAMEA4620580.assembly	56	27	16	14	13	10	1885345	1875239	1847195	1833954	1823628	1723692	34	358301	1879631	41.53	233183	112275	4	6	0.00
SAMEA4621268.assembly	35	17	8	5	5	5	1891526	1884750	1864296	1845638	1845638	1845638	23	656528	1888914	41.48	468407	357387	2	3	0.00
SAMEA4621459.assembly	35	15	10	9	6	6	1881191	1872816	1862924	1857289	1806638	1806638	20	653315	1877106	41.51	456813	229438	2	4	0.00
SAMEA4621275.assembly	20	13	9	8	5	5	1860621	1858371	1852318	1846683	1787288	1787288	15	652594	1859698	41.56	429810	347946	2	3	0.00
SAMEA4621334.assembly	31	22	14	12	7	6	2023578	2019942	2005186	1990336	1912033	1865234	25	797832	2021916	41.29	337849	210778	2	4	0.00
SAMEA4621443.assembly	28	18	10	9	9	7	1967811	1962463	1941556	1936127	1936127	1851855	23	611362	1966479	41.42	256223	180088	3	5	0.00
SAMEA4620462.assembly	22	14	9	8	7	7	1869034	1865718	1850426	1844693	1833817	1833817	16	464713	1867206	41.61	347411	227857	3	4	0.00
SAMEA4620461.assembly	10	7	6	5	5	5	1827475	1826784	1825476	1819829	1819829	1819829	7	1116820	1826784	41.69	1116820	347612	1	2	0.00
SAMEA4621351.assembly	40	20	13	12	9	7	1956957	1949749	1930646	1925116	1879740	1796062	26	463673	1953927	41.61	277828	173348	3	5	0.00
SAMEA4621472.assembly	30	11	11	10	8	7	2002465	1995486	1995486	1990058	1955016	1908514	17	582136	1999995	41.69	298140	229885	3	5	0.00
SAMEA4621306.assembly	35	17	9	6	6	5	2001634	1993217	1974147	1955664	1955664	1915963	26	723287	1999197	41.22	471456	357617	2	3	0.00
SAMEA4621270.assembly	16	12	7	5	5	5	1878450	1877463	1863873	1853014	1853014	1853014	12	688918	1877463	41.63	453075	354290	2	3	0.00
SAMEA4621488.assembly	17	10	8	7	7	7	1936247	1933421	1928576	1922844	1922844	1922844	12	692184	1935212	41.55	352023	229716	2	4	0.00
SAMEA4620668.assembly	24	13	9	6	6	6	1843632	1840499	1827128	1806011	1806011	1806011	15	463366	1841631	41.60	346238	227807	3	4	0.00
SAMEA4621329.assembly	22	16	11	9	8	6	1907338	1904445	1888573	1874210	1857818	1803185	19	663440	1906469	41.44	455898	209685	2	4	0.00
SAMEA4621313.assembly	19	11	6	5	5	5	1851955	1850385	1838037	1832404	1832404	1832404	11	654021	1850385	41.56	464475	356729	2	3	0.00
SAMEA4621288.assembly	34	17	11	9	7	6	1903978	1896708	1883472	1872074	1842926	1806606	21	654642	1900226	41.48	454442	230458	2	4	0.00
SAMEA4621502.assembly	7	6	5	4	4	4	1835528	1835246	1833938	1828263	1828263	1828263	6	1136876	1835246	41.64	1136876	347070	1	2	0.00
SAMEA4620656.assembly	22	15	9	6	6	5	1892858	1890255	1876249	1855642	1855642	1820040	16	657993	1891071	41.48	455873	349577	2	3	0.00
SAMEA4621367.assembly	26	14	8	7	7	6	1888289	1883683	1864974	1859473	1859473	1819776	17	449016	1885652	41.53	349617	231129	3	4	0.00
SAMEA4620739.assembly	15	13	8	7	6	6	1839832	1839103	1824245	1818512	1802116	1802116	13	654211	1839103	41.61	462209	279499	2	3	0.00
SAMEA4621344.assembly	26	14	8	7	6	6	1908604	1905428	1891541	1885808	1869662	1869662	16	688686	1906616	41.58	403585	356358	2	3	0.00
SAMEA4620669.assembly	19	14	9	7	7	5	1977290	1974541	1964300	1950635	1950635	1894911	17	830403	1976624	41.38	377867	310864	2	3	0.00
SAMEA4621563.assembly	25	14	9	7	7	7	1881397	1878014	1862560	1851402	1851402	1851402	17	695573	1879688	41.50	401248	346498	2	3	0.00
SAMEA4621522.assembly	31	16	10	9	7	7	1881109	1876304	1860612	1854878	1823983	1823983	19	676007	1878217	41.60	399807	348243	2	3	0.00
SAMEA4622162.assembly	19	11	6	5	5	5	1851890	1850320	1837972	1832339	1832339	1832339	11	654002	1850320	41.56	464419	356729	2	3	0.00
SAMEA4622183.assembly	10	9	7	6	6	6	1864929	1864647	1862147	1856414	1856414	1856414	9	1116387	1864647	41.74	1116387	221195	1	3	0.00
SAMEA4621713.assembly	32	17	8	5	5	5	1878280	1873504	1855645	1833398	1833398	1833398	20	680802	1875467	41.63	459542	346196	2	3	0.00
SAMEA4620436.assembly	7	6	5	4	4	4	1817884	1817603	1816295	1810562	1810562	1810562	6	1118884	1817603	41.70	1118884	347307	1	2	0.00
SAMEA4622212.assembly	10	8	8	7	6	6	1827339	1826493	1826493	1820760	1810447	1810447	9	790016	1827057	41.69	347283	222403	2	4	0.00
SAMEA4620485.assembly	15	11	8	7	7	6	1859496	1858532	1847343	1841673	1841673	1803724	11	415727	1858532	41.68	347278	319820	3	4	0.00
SAMEA4621835.assembly	26	14	11	10	9	8	1918336	1913551	1902112	1896395	1882300	1838442	17	410380	1915789	41.66	295714	196280	3	5	0.00
