# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	2	355	-	PFFDCG_001		(3' truncated) Single-stranded DNA-binding protein	SO:0001217, UniRef:UniRef50_Q8VRC5, UniRef:UniRef90_Q8VRC5
contig_1	cds	339	506	-	PFFDCG_002		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI000D4E1245
contig_1	cds	516	1169	-	PFFDCG_003		TrbM-like protein	RefSeq:WP_005638123.1, SO:0001217, UniParc:UPI00000BE258, UniRef:UniRef100_Q8VRC6, UniRef:UniRef50_A0A1T0AX12, UniRef:UniRef90_Q8VRC6
contig_1	cds	1180	3012	-	PFFDCG_004		TraK-like protein	EC:7.4.2.8, KEGG:K03205, SO:0001217, UniRef:UniRef50_A0A1V3IW55, UniRef:UniRef90_Q8VRC7
contig_1	cds	3022	4080	-	PFFDCG_005	virB11	P-type DNA transfer ATPase VirB11	GO:0043684, GO:0044097, SO:0001217, UniRef:UniRef50_Q8VRC8, UniRef:UniRef90_Q8VRC8
contig_1	cds	4095	5276	-	PFFDCG_006		type IV secretion system protein VirB10	KEGG:K03195, SO:0001217, UniRef:UniRef50_A0A1V3IWQ2, UniRef:UniRef90_UPI0023DDB8B5
contig_1	cds	5269	6042	-	PFFDCG_007		TrbG/VirB9 family P-type conjugative transfer protein	KEGG:K03204, RefSeq:WP_239495193.1, SO:0001217, UniParc:UPI001EF94955, UniRef:UniRef100_UPI001EF94955, UniRef:UniRef50_Q8VRD0, UniRef:UniRef90_UPI000D01F8B4
contig_1	cds	6052	6834	-	PFFDCG_008		TraE/VirB8-like protein	KEGG:K03203, SO:0001217, UniRef:UniRef50_A0A9X4PC34, UniRef:UniRef90_Q8VRD1
contig_1	cds	7016	8008	-	PFFDCG_009		type IV secretion system protein	KEGG:K03201, SO:0001217, UniRef:UniRef50_A0A1V3KJU1, UniRef:UniRef90_UPI0010A6B0F2
contig_1	cds	8021	8713	-	PFFDCG_010		type IV secretion system protein	KEGG:K03200, SO:0001217, UniRef:UniRef50_A0A1T0AX86, UniRef:UniRef90_UPI000D0126AC
contig_1	cds	8729	11143	-	PFFDCG_011		TraB/VirB4-like protein	SO:0001217, UniRef:UniRef50_Q8VRD5, UniRef:UniRef90_Q8VRD5
contig_1	cds	11115	11471	-	PFFDCG_012		TraA/VirB3-like protein	RefSeq:WP_105892268.1, SO:0001217, UniParc:UPI000D015116, UniRef:UniRef100_UPI000D015116, UniRef:UniRef50_A0A1V3KKJ0, UniRef:UniRef90_Q8VRD6
contig_1	cds	11555	11869	-	PFFDCG_013		TraC-like protein	SO:0001217, UniRef:UniRef50_Q8VRD7, UniRef:UniRef90_Q8VRD7
contig_1	cds	11888	12571	-	PFFDCG_014		TraB-like protein	SO:0001217, UniRef:UniRef50_A0A1V3IX29, UniRef:UniRef90_Q8VRD8
contig_1	cds	12684	12965	-	PFFDCG_015		hypothetical protein	RefSeq:WP_112077208.1, SO:0001217, UniParc:UPI000DD4D942, UniRef:UniRef100_UPI000DD4D942, UniRef:UniRef50_UPI002879411D, UniRef:UniRef90_UPI000DD4D942
contig_1	cds	12967	13185	-	PFFDCG_016		hypothetical protein	RefSeq:WP_050540713.1, SO:0001217, UniParc:UPI00067AE483, UniRef:UniRef100_UPI00067AE483, UniRef:UniRef50_A0A9Q6Z1M5, UniRef:UniRef90_UPI00067AE483
contig_1	cds	13827	14843	+	PFFDCG_017		Replication protein	RefSeq:WP_116954135.1, SO:0001217, UniParc:UPI000E34DACE, UniRef:UniRef100_UPI000E34DACE, UniRef:UniRef50_Q8VRE1, UniRef:UniRef90_Q8VRE1
contig_1	cds	15776	16354	+	PFFDCG_018		DUF4304 domain-containing protein	SO:0001217, UniRef:UniRef50_Q8VRE2, UniRef:UniRef90_Q8VRE2
contig_1	cds	16477	16746	+	PFFDCG_019		DUF1456 domain-containing protein	RefSeq:WP_049365687.1, SO:0001217, UniParc:UPI00066B3123, UniRef:UniRef100_UPI000518C999, UniRef:UniRef50_A0A9X4PF05, UniRef:UniRef90_UPI001890B1A6
contig_1	cds	17043	17564	+	PFFDCG_020		hypothetical protein	SO:0001217, UniRef:UniRef50_Q8VRE3, UniRef:UniRef90_Q8VRE3
contig_1	cds	17681	18319	+	PFFDCG_021		ParA-like protein	RefSeq:WP_005638148.1, SO:0001217, UniParc:UPI00021B3798, UniRef:UniRef100_UPI00021B3798, UniRef:UniRef50_A0A1V3KIX1, UniRef:UniRef90_Q8VRE4
contig_1	cds	18321	18791	+	PFFDCG_022		hypothetical protein	RefSeq:WP_005638146.1, SO:0001217, UniParc:UPI00000B1335, UniRef:UniRef100_Q8VRE5, UniRef:UniRef50_Q8VRE5, UniRef:UniRef90_Q8VRE5
contig_1	cds	18784	19107	+	PFFDCG_023		hypothetical protein	RefSeq:WP_049365689.1, SO:0001217, UniParc:UPI00066A9B22, UniRef:UniRef100_UPI00066A9B22, UniRef:UniRef50_Q8VRE6, UniRef:UniRef90_Q8VRE6
contig_1	cds	19117	19296	+	PFFDCG_024	vbhA	Antitoxin VbhA domain-containing protein	RefSeq:WP_049365690.1, SO:0001217, UniParc:UPI00066C9725, UniRef:UniRef100_A0A2S9RQ49, UniRef:UniRef50_A0A0A3A2S1, UniRef:UniRef90_A0A2S9RQ49
contig_1	cds	19277	20212	+	PFFDCG_025		protein adenylyltransferase	SO:0001217, UniRef:UniRef50_G4A5F4, UniRef:UniRef90_A0A2S9RQ35
contig_1	cds	20294	20869	-	PFFDCG_026		Resolvase/integrase-like protein	SO:0001217, UniRef:UniRef50_A0A448PZD2
contig_1	cds	20889	21200	-	PFFDCG_027		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI0001BA153E, UniRef:UniRef90_UPI00021B3793
